dimension: 10
max non-zeros: 7
min non-zeros: 1
avg non-zeros: 2
we have 36 chains
28 are fixed
8 are free
36 have radius zero
   28 of these are fixed
   8 of these are free
0 have radius non-zero
   0 of these are fixed
   0 of these are free

sqr= 0.008275  bst= 0.008275  num= 1  per=1  inf= 36 8 80     
sqr= 1.611e-11  bst= 1.611e-11  num= 2  per=100000000  inf= 36 8 80     
sqr= 3.887e-05  bst= 1.611e-11  num= 3  per=100000000  inf= 36 8 80     
sqr= 0.0008462  bst= 1.611e-11  num= 4  per=100000000  inf= 36 8 80     
sqr= 0.0001205  bst= 1.611e-11  num= 5  per=100000000  inf= 36 8 80     
sqr= 0.0001023  bst= 1.611e-11  num= 6  per=100000000  inf= 36 8 80     
sqr= 0.001117  bst= 1.611e-11  num= 7  per=100000000  inf= 36 8 80     
sqr= 0.01093  bst= 1.611e-11  num= 8  per=100000000  inf= 36 8 80     
sqr= 0.004167  bst= 1.611e-11  num= 9  per=100000000  inf= 36 8 80     
sqr= 5.257e-07  bst= 1.611e-11  num= 10  per=100000000  inf= 36 8 80     
sqr= 5.073e-05  bst= 1.611e-11  num= 11  per=100000000  inf= 36 8 80     
sqr= 1.2e-06  bst= 1.611e-11  num= 12  per=100000000  inf= 36 8 80     
sqr= 2.212e-08  bst= 1.611e-11  num= 13  per=100000000  inf= 36 8 80     
sqr= 7.859e-05  bst= 1.611e-11  num= 14  per=100000000  inf= 36 8 80     
sqr= 0.0001405  bst= 1.611e-11  num= 15  per=100000000  inf= 36 8 80     
sqr= 1.321e+05  bst= 1.611e-11  num= 16  per=100000000  inf= 36 8 80     
sqr= 0.0001977  bst= 1.611e-11  num= 17  per=100000000  inf= 36 8 80     
sqr= 1.513e-19  bst= 1.513e-19  num= 18  per=100000000  inf= 36 8 80     
sqr= 0.02492  bst= 1.513e-19  num= 19  per=100000000  inf= 36 8 80     
sqr= 1.049e-18  bst= 1.513e-19  num= 20  per=100000000  inf= 36 8 80     
sqr= 0.0003241  bst= 1.513e-19  num= 21  per=100000000  inf= 36 8 80     
sqr= 0.0003484  bst= 1.513e-19  num= 22  per=100000000  inf= 36 8 80     
sqr= 5.317e-08  bst= 1.513e-19  num= 23  per=100000000  inf= 36 8 80     
sqr= 0.006677  bst= 1.513e-19  num= 24  per=100000000  inf= 36 8 80     
sqr= 2.632e+05  bst= 1.513e-19  num= 25  per=100000000  inf= 36 8 80     
sqr= 0.003916  bst= 1.513e-19  num= 26  per=100000000  inf= 36 8 80     
sqr= 0.0009158  bst= 1.513e-19  num= 27  per=100000000  inf= 36 8 80     
sqr= 0.001428  bst= 1.513e-19  num= 28  per=100000000  inf= 36 8 80     
sqr= 0.0001344  bst= 1.513e-19  num= 29  per=100000000  inf= 36 8 80     
sqr= 0.02346  bst= 1.513e-19  num= 30  per=100000000  inf= 36 8 80     
