Original matrix:

Reduced matrix:

dimension: 2
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
1 have radius zero
   0 of these are fixed
   1 of these are free
0 have radius non-zero
   0 of these are fixed
   0 of these are free

sqr= 0.1274  bst= 0.1274  num= 1  per=1  inf= 1 1 2     
sqr= 4.811e-27  bst= 4.811e-27  num= 2  per=100000000  inf= 1 1 2     
sqr= 1.389e-24  bst= 4.811e-27  num= 3  per=100000000  inf= 1 1 2     
sqr= 1.672e-23  bst= 4.811e-27  num= 4  per=100000000  inf= 1 1 2     
sqr= 1.353  bst= 4.811e-27  num= 5  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 6  per=100000000  inf= 1 1 2     
sqr= 3.357  bst= 7.499e-29  num= 7  per=100000000  inf= 1 1 2     
sqr= 1.906  bst= 7.499e-29  num= 8  per=100000000  inf= 1 1 2     
sqr= 27.48  bst= 7.499e-29  num= 9  per=100000000  inf= 1 1 2     
sqr= 6.567e-24  bst= 7.499e-29  num= 10  per=100000000  inf= 1 1 2     
sqr= 1.349e-23  bst= 7.499e-29  num= 11  per=100000000  inf= 1 1 2     
sqr= 7.309e-24  bst= 7.499e-29  num= 12  per=100000000  inf= 1 1 2     
sqr= 7.674e-26  bst= 7.499e-29  num= 13  per=100000000  inf= 1 1 2     
sqr= 24.47  bst= 7.499e-29  num= 14  per=100000000  inf= 1 1 2     
sqr= 3.556e-21  bst= 7.499e-29  num= 15  per=100000000  inf= 1 1 2     
sqr= 4.054e-25  bst= 7.499e-29  num= 16  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 17  per=100000000  inf= 1 1 2     
sqr= 2.645  bst= 7.499e-29  num= 18  per=100000000  inf= 1 1 2     
sqr= 8.955e-09  bst= 7.499e-29  num= 19  per=100000000  inf= 1 1 2     
sqr= 21.08  bst= 7.499e-29  num= 20  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 21  per=100000000  inf= 1 1 2     
sqr= 0.1775  bst= 7.499e-29  num= 22  per=100000000  inf= 1 1 2     
sqr= 1.472e-26  bst= 7.499e-29  num= 23  per=100000000  inf= 1 1 2     
sqr= 99.87  bst= 7.499e-29  num= 24  per=100000000  inf= 1 1 2     
sqr= 2.491e-07  bst= 7.499e-29  num= 25  per=100000000  inf= 1 1 2     
sqr= 6.158e-22  bst= 7.499e-29  num= 26  per=100000000  inf= 1 1 2     
sqr= 3.674e-27  bst= 7.499e-29  num= 27  per=100000000  inf= 1 1 2     
sqr= 1.56e-23  bst= 7.499e-29  num= 28  per=100000000  inf= 1 1 2     
sqr= 0.04549  bst= 7.499e-29  num= 29  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 30  per=100000000  inf= 1 1 2     
sqr= 1.206e-27  bst= 7.499e-29  num= 31  per=100000000  inf= 1 1 2     
sqr= 5.808e-25  bst= 7.499e-29  num= 32  per=100000000  inf= 1 1 2     
sqr= 0.024  bst= 7.499e-29  num= 33  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 34  per=100000000  inf= 1 1 2     
sqr= 1.803e-26  bst= 7.499e-29  num= 35  per=100000000  inf= 1 1 2     
sqr= 7.499e-29  bst= 7.499e-29  num= 36  per=100000000  inf= 1 1 2     
