Original matrix:
 1 -1  1  0  0  0  0  0  0  0
 1  0  0 -1  1  0  0  0  0  0
 1  0  0  0  0 -1  1  0  0  0
 0  1  0 -1  0  0  0  1  0  0
 0  1  0  0  0 -1  0  0  1  0
 0  0  1  0 -1  0  0  1  0  0
 0  0  1  0  0  0 -1  0  1  0
 0  0  0  1  0 -1  0  0  0  1
 0  0  0  0  1  0 -1  0  0  1
 0  0  0  0  0  0  0  1 -1  1
Reduced matrix:
 1  0  0  0  0 -1  1  0  0  0
 0  1  0  0  0 -1  0  0  1  0
 0  0  1  0  0  0 -1  0  1  0
 0  0  0  1  0 -1  0  0  0  1
 0  0  0  0  1  0 -1  0  0  1
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  1 -1  1
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0
dimension: 3
max non-zeros: 3
min non-zeros: 1
avg non-zeros: 1
we have 10 chains
6 are fixed
4 are free
1 have radius zero
   1 of these are fixed
   0 of these are free
9 have radius non-zero
   5 of these are fixed
   4 of these are free

sqr= 7671  bst= 7671  num= 1  per=1  inf= 10 4 12     
sqr= 1.36e+04  bst= 1.36e+04  num= 2  per=100000000  inf= 10 4 12     
sqr= 1766  bst= 1766  num= 3  per=100000000  inf= 10 4 12     
sqr= 2003  bst= 1766  num= 4  per=100000000  inf= 10 4 12     
sqr= 1766  bst= 1766  num= 5  per=100000000  inf= 10 4 12     
sqr= 4149  bst= 1766  num= 6  per=100000000  inf= 10 4 12     
sqr= 1.316e+04  bst= 1766  num= 7  per=100000000  inf= 10 4 12     
sqr= 1984  bst= 1766  num= 8  per=100000000  inf= 10 4 12     
sqr= 1984  bst= 1766  num= 9  per=100000000  inf= 10 4 12     
sqr= 6553  bst= 1766  num= 10  per=100000000  inf= 10 4 12     
sqr= 2627  bst= 1766  num= 11  per=100000000  inf= 10 4 12     
sqr= 2517  bst= 1766  num= 12  per=100000000  inf= 10 4 12     
sqr= 2517  bst= 1766  num= 13  per=100000000  inf= 10 4 12     
sqr= 5067  bst= 1766  num= 14  per=100000000  inf= 10 4 12     
sqr= 4474  bst= 1766  num= 15  per=100000000  inf= 10 4 12     
sqr= 1766  bst= 1766  num= 16  per=100000000  inf= 10 4 12     
sqr= 2517  bst= 1766  num= 17  per=100000000  inf= 10 4 12     
sqr= 1.602e+04  bst= 1766  num= 18  per=100000000  inf= 10 4 12     
sqr= 1766  bst= 1766  num= 19  per=100000000  inf= 10 4 12     
sqr= 1984  bst= 1766  num= 20  per=100000000  inf= 10 4 12     
sqr= 1766  bst= 1766  num= 21  per=100000000  inf= 10 4 12     
sqr= 1.31e+04  bst= 1766  num= 22  per=100000000  inf= 10 4 12     
sqr= 1.797e+04  bst= 1766  num= 23  per=100000000  inf= 10 4 12     
sqr= 2003  bst= 1766  num= 24  per=100000000  inf= 10 4 12     
sqr= 1.053e+04  bst= 1766  num= 25  per=100000000  inf= 10 4 12     
sqr= 8083  bst= 1766  num= 26  per=100000000  inf= 10 4 12     
sqr= 1.111e+04  bst= 1766  num= 27  per=100000000  inf= 10 4 12     
sqr= 1.499e+04  bst= 1766  num= 28  per=100000000  inf= 10 4 12     
sqr= 1.4e+04  bst= 1766  num= 29  per=100000000  inf= 10 4 12     
sqr= 8186  bst= 1766  num= 30  per=100000000  inf= 10 4 12     
