dimension: 4
max non-zeros: 4
min non-zeros: 1
avg non-zeros: 2
we have 15 chains
10 are fixed
5 are free
1 have radius zero
   1 of these are fixed
   0 of these are free
14 have radius non-zero
   9 of these are fixed
   5 of these are free

sqr= 1.351e+04  bst= 1.351e+04  num= 1  per=1  inf= 15 5 20     
sqr= nan  bst= 2.147e+04  num= 2  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 2.074  num= 3  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 2.074  num= 4  per=100000000  inf= 15 5 20     
sqr= 9923  bst= 2.074  num= 5  per=100000000  inf= 15 5 20     
sqr= 8918  bst= 2.074  num= 6  per=100000000  inf= 15 5 20     
sqr= 208.5  bst= 2.074  num= 7  per=100000000  inf= 15 5 20     
sqr= 474.6  bst= 2.074  num= 8  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 2.074  num= 9  per=100000000  inf= 15 5 20     
sqr= 1.131e+04  bst= 2.074  num= 10  per=100000000  inf= 15 5 20     
sqr= 1.144e+04  bst= 2.074  num= 11  per=100000000  inf= 15 5 20     
sqr= 762.6  bst= 2.074  num= 12  per=100000000  inf= 15 5 20     
sqr= 310.1  bst= 2.074  num= 13  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 2.074  num= 14  per=100000000  inf= 15 5 20     
sqr= 1.167e+04  bst= 2.074  num= 15  per=100000000  inf= 15 5 20     
sqr= 179.9  bst= 2.074  num= 16  per=100000000  inf= 15 5 20     
sqr= 1.764e+04  bst= 2.074  num= 17  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 2.074  num= 18  per=100000000  inf= 15 5 20     
sqr= 3.356e+04  bst= 2.074  num= 19  per=100000000  inf= 15 5 20     
sqr= 179.9  bst= 2.074  num= 20  per=100000000  inf= 15 5 20     
sqr= 481.6  bst= 2.074  num= 21  per=100000000  inf= 15 5 20     
sqr= 1.528  bst= 1.528  num= 22  per=100000000  inf= 15 5 20     
sqr= 481.6  bst= 1.528  num= 23  per=100000000  inf= 15 5 20     
sqr= 1313  bst= 1.528  num= 24  per=100000000  inf= 15 5 20     
sqr= 2.564e+04  bst= 1.528  num= 25  per=100000000  inf= 15 5 20     
sqr= 310.1  bst= 1.528  num= 26  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 27  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 28  per=100000000  inf= 15 5 20     
sqr= 8599  bst= 1.528  num= 29  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 30  per=100000000  inf= 15 5 20     
sqr= 109.7  bst= 1.528  num= 31  per=100000000  inf= 15 5 20     
sqr= 7222  bst= 1.528  num= 32  per=100000000  inf= 15 5 20     
sqr= 1.26e+04  bst= 1.528  num= 33  per=100000000  inf= 15 5 20     
sqr= 762.6  bst= 1.528  num= 34  per=100000000  inf= 15 5 20     
sqr= 3.879e+04  bst= 1.528  num= 35  per=100000000  inf= 15 5 20     
sqr= 179.9  bst= 1.528  num= 36  per=100000000  inf= 15 5 20     
sqr= 2.137e+04  bst= 1.528  num= 37  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 38  per=100000000  inf= 15 5 20     
sqr= 1.56e+04  bst= 1.528  num= 39  per=100000000  inf= 15 5 20     
sqr= 1.664e+04  bst= 1.528  num= 40  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 41  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 42  per=100000000  inf= 15 5 20     
sqr= 398.9  bst= 1.528  num= 43  per=100000000  inf= 15 5 20     
sqr= 2.561e+04  bst= 1.528  num= 44  per=100000000  inf= 15 5 20     
sqr= 1.994e+04  bst= 1.528  num= 45  per=100000000  inf= 15 5 20     
sqr= 628.7  bst= 1.528  num= 46  per=100000000  inf= 15 5 20     
sqr= 770.9  bst= 1.528  num= 47  per=100000000  inf= 15 5 20     
sqr= 342  bst= 1.528  num= 48  per=100000000  inf= 15 5 20     
sqr= 628.7  bst= 1.528  num= 49  per=100000000  inf= 15 5 20     
sqr= 490  bst= 1.528  num= 50  per=100000000  inf= 15 5 20     
sqr= 2.686e+04  bst= 1.528  num= 51  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 52  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 53  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 54  per=100000000  inf= 15 5 20     
sqr= 2.157e+04  bst= 1.528  num= 55  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 1.528  num= 56  per=100000000  inf= 15 5 20     
sqr= 762.6  bst= 1.528  num= 57  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 58  per=100000000  inf= 15 5 20     
sqr= 774.6  bst= 1.528  num= 59  per=100000000  inf= 15 5 20     
sqr= 4190  bst= 1.528  num= 60  per=100000000  inf= 15 5 20     
sqr= 9797  bst= 1.528  num= 61  per=100000000  inf= 15 5 20     
sqr= 1.448e+04  bst= 1.528  num= 62  per=100000000  inf= 15 5 20     
sqr= 2.054e+04  bst= 1.528  num= 63  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 64  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 65  per=100000000  inf= 15 5 20     
sqr= 208.5  bst= 1.528  num= 66  per=100000000  inf= 15 5 20     
sqr= 179.9  bst= 1.528  num= 67  per=100000000  inf= 15 5 20     
sqr= 2.377e+04  bst= 1.528  num= 68  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 69  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 1.528  num= 70  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 71  per=100000000  inf= 15 5 20     
sqr= 9458  bst= 1.528  num= 72  per=100000000  inf= 15 5 20     
sqr= 2.85e+04  bst= 1.528  num= 73  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 74  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 75  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 1.528  num= 76  per=100000000  inf= 15 5 20     
sqr= 1.103e+04  bst= 1.528  num= 77  per=100000000  inf= 15 5 20     
sqr= 179.9  bst= 1.528  num= 78  per=100000000  inf= 15 5 20     
sqr= 770.9  bst= 1.528  num= 79  per=100000000  inf= 15 5 20     
sqr= 66.64  bst= 1.528  num= 80  per=100000000  inf= 15 5 20     
sqr= 481.6  bst= 1.528  num= 81  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 82  per=100000000  inf= 15 5 20     
sqr= 208.5  bst= 1.528  num= 83  per=100000000  inf= 15 5 20     
sqr= 1.454e+04  bst= 1.528  num= 84  per=100000000  inf= 15 5 20     
sqr= 1.182e+04  bst= 1.528  num= 85  per=100000000  inf= 15 5 20     
sqr= 342  bst= 1.528  num= 86  per=100000000  inf= 15 5 20     
sqr= nan  bst= 1.528  num= 87  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 88  per=100000000  inf= 15 5 20     
sqr= 1055  bst= 1.528  num= 89  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 1.528  num= 90  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 91  per=100000000  inf= 15 5 20     
sqr= 2.601e+04  bst= 1.528  num= 92  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 93  per=100000000  inf= 15 5 20     
sqr= 9443  bst= 1.528  num= 94  per=100000000  inf= 15 5 20     
sqr= 18.79  bst= 1.528  num= 95  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 96  per=100000000  inf= 15 5 20     
sqr= 8708  bst= 1.528  num= 97  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 98  per=100000000  inf= 15 5 20     
sqr= 1.528  bst= 1.528  num= 99  per=100000000  inf= 15 5 20     
sqr= 608.6  bst= 1.528  num= 100  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 101  per=100000000  inf= 15 5 20     
sqr= 5821  bst= 1.528  num= 102  per=100000000  inf= 15 5 20     
sqr= 490  bst= 1.528  num= 103  per=100000000  inf= 15 5 20     
sqr= 2.233e+04  bst= 1.528  num= 104  per=100000000  inf= 15 5 20     
sqr= 203  bst= 1.528  num= 105  per=100000000  inf= 15 5 20     
sqr= 50.91  bst= 1.528  num= 106  per=100000000  inf= 15 5 20     
sqr= 1.348e+04  bst= 1.528  num= 107  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 108  per=100000000  inf= 15 5 20     
sqr= 756.8  bst= 1.528  num= 109  per=100000000  inf= 15 5 20     
sqr= 2.074  bst= 1.528  num= 110  per=100000000  inf= 15 5 20     
sqr= 342  bst= 1.528  num= 111  per=100000000  inf= 15 5 20     
sqr= 762.6  bst= 1.528  num= 112  per=100000000  inf= 15 5 20     
sqr= 152.4  bst= 1.528  num= 113  per=100000000  inf= 15 5 20     
sqr= 185.3  bst= 1.528  num= 114  per=100000000  inf= 15 5 20     
