chain 0 + chain 2 = chain 1
Original matrix:
 1 -1  1
Reduced matrix:
 1 -1  1
dimension: 4
max non-zeros: 1
min non-zeros: 1
avg non-zeros: 1
we have 3 chains
1 are fixed
2 are free
3 have radius zero
   1 of these are fixed
   2 of these are free
0 have radius non-zero
   0 of these are fixed
   0 of these are free

sqr= 2.51e-22  bst= 2.51e-22  num= 1  per=1  inf= 3 2 8     
sqr= 1.033e-21  bst= 1.033e-21  num= 2  per=100000000  inf= 3 2 8     
sqr= 1.776e-24  bst= 1.776e-24  num= 3  per=100000000  inf= 3 2 8     
sqr= 4.06e-23  bst= 1.776e-24  num= 4  per=100000000  inf= 3 2 8     
sqr= 2760  bst= 1.776e-24  num= 5  per=100000000  inf= 3 2 8     
sqr= 1.548e-21  bst= 1.776e-24  num= 6  per=100000000  inf= 3 2 8     
sqr= 4727  bst= 1.776e-24  num= 7  per=100000000  inf= 3 2 8     
sqr= 1.519e-22  bst= 1.776e-24  num= 8  per=100000000  inf= 3 2 8     
sqr= 404.1  bst= 1.776e-24  num= 9  per=100000000  inf= 3 2 8     
sqr= 3.253e-21  bst= 1.776e-24  num= 10  per=100000000  inf= 3 2 8     
sqr= 6.328e-23  bst= 1.776e-24  num= 11  per=100000000  inf= 3 2 8     
sqr= 9205  bst= 1.776e-24  num= 12  per=100000000  inf= 3 2 8     
sqr= 8.058e-23  bst= 1.776e-24  num= 13  per=100000000  inf= 3 2 8     
sqr= 2802  bst= 1.776e-24  num= 14  per=100000000  inf= 3 2 8     
sqr= 2.715e-21  bst= 1.776e-24  num= 15  per=100000000  inf= 3 2 8     
sqr= 3.209e-22  bst= 1.776e-24  num= 16  per=100000000  inf= 3 2 8     
sqr= 1.255e+04  bst= 1.776e-24  num= 17  per=100000000  inf= 3 2 8     
sqr= 7.256e-23  bst= 1.776e-24  num= 18  per=100000000  inf= 3 2 8     
sqr= 2.806e-22  bst= 1.776e-24  num= 19  per=100000000  inf= 3 2 8     
sqr= 3.992e-22  bst= 1.776e-24  num= 20  per=100000000  inf= 3 2 8     
sqr= 2007  bst= 1.776e-24  num= 21  per=100000000  inf= 3 2 8     
sqr= 1.058e+04  bst= 1.776e-24  num= 22  per=100000000  inf= 3 2 8     
sqr= 5.654e-22  bst= 1.776e-24  num= 23  per=100000000  inf= 3 2 8     
sqr= 9.819e-22  bst= 1.776e-24  num= 24  per=100000000  inf= 3 2 8     
sqr= 7.715e-23  bst= 1.776e-24  num= 25  per=100000000  inf= 3 2 8     
sqr= 3491  bst= 1.776e-24  num= 26  per=100000000  inf= 3 2 8     
sqr= 8.308e-24  bst= 1.776e-24  num= 27  per=100000000  inf= 3 2 8     
sqr= 1.511e-21  bst= 1.776e-24  num= 28  per=100000000  inf= 3 2 8     
sqr= 7969  bst= 1.776e-24  num= 29  per=100000000  inf= 3 2 8     
sqr= 2.224e-22  bst= 1.776e-24  num= 30  per=100000000  inf= 3 2 8     
sqr= 6107  bst= 1.776e-24  num= 31  per=100000000  inf= 3 2 8     
sqr= 7.112e-21  bst= 1.776e-24  num= 32  per=100000000  inf= 3 2 8     
sqr= 1.486e-21  bst= 1.776e-24  num= 33  per=100000000  inf= 3 2 8     
sqr= 9.587e-23  bst= 1.776e-24  num= 34  per=100000000  inf= 3 2 8     
sqr= 2.777e-23  bst= 1.776e-24  num= 35  per=100000000  inf= 3 2 8     
sqr= 3.068e-22  bst= 1.776e-24  num= 36  per=100000000  inf= 3 2 8     
sqr= 1.78e-22  bst= 1.776e-24  num= 37  per=100000000  inf= 3 2 8     
sqr= 9.32e-26  bst= 9.32e-26  num= 38  per=100000000  inf= 3 2 8     
sqr= 1.491e+04  bst= 9.32e-26  num= 39  per=100000000  inf= 3 2 8     
