dimension: 5
max non-zeros: 8
min non-zeros: 1
avg non-zeros: 2
we have 45 chains
36 are fixed
9 are free
5 have radius zero
   4 of these are fixed
   1 of these are free
40 have radius non-zero
   32 of these are fixed
   8 of these are free

sqr= 2114  bst= 2114  num= 1  per=1  inf= 45 9 45     
sqr= 7.825e+04  bst= 7.825e+04  num= 2  per=100000000  inf= 45 9 45     
sqr= 4042  bst= 4042  num= 3  per=100000000  inf= 45 9 45     
sqr= 6.67e+04  bst= 4042  num= 4  per=100000000  inf= 45 9 45     
sqr= 2129  bst= 2129  num= 5  per=100000000  inf= 45 9 45     
sqr= 2320  bst= 2129  num= 6  per=100000000  inf= 45 9 45     
sqr= 3627  bst= 2129  num= 7  per=100000000  inf= 45 9 45     
sqr= 1751  bst= 1751  num= 8  per=100000000  inf= 45 9 45     
sqr= 3.457e+04  bst= 1751  num= 9  per=100000000  inf= 45 9 45     
sqr= 6.402e-20  bst= 6.402e-20  num= 10  per=100000000  inf= 45 9 45     
sqr= 1059  bst= 6.402e-20  num= 11  per=100000000  inf= 45 9 45     
sqr= 2502  bst= 6.402e-20  num= 12  per=100000000  inf= 45 9 45     
sqr= 9.346e+04  bst= 6.402e-20  num= 13  per=100000000  inf= 45 9 45     
sqr= 1084  bst= 6.402e-20  num= 14  per=100000000  inf= 45 9 45     
sqr= 3.39e+04  bst= 6.402e-20  num= 15  per=100000000  inf= 45 9 45     
sqr= 2873  bst= 6.402e-20  num= 16  per=100000000  inf= 45 9 45     
sqr= 1233  bst= 6.402e-20  num= 17  per=100000000  inf= 45 9 45     
sqr= 8.103e+04  bst= 6.402e-20  num= 18  per=100000000  inf= 45 9 45     
sqr= 1.146e+05  bst= 6.402e-20  num= 19  per=100000000  inf= 45 9 45     
sqr= 8.997e-13  bst= 6.402e-20  num= 20  per=100000000  inf= 45 9 45     
sqr= 1.842e-20  bst= 1.842e-20  num= 21  per=100000000  inf= 45 9 45     
sqr= 2731  bst= 1.842e-20  num= 22  per=100000000  inf= 45 9 45     
sqr= 2916  bst= 1.842e-20  num= 23  per=100000000  inf= 45 9 45     
sqr= 2308  bst= 1.842e-20  num= 24  per=100000000  inf= 45 9 45     
sqr= 1.078e+05  bst= 1.842e-20  num= 25  per=100000000  inf= 45 9 45     
sqr= 1.034e+05  bst= 1.842e-20  num= 26  per=100000000  inf= 45 9 45     
sqr= 2535  bst= 1.842e-20  num= 27  per=100000000  inf= 45 9 45     
sqr= 2457  bst= 1.842e-20  num= 28  per=100000000  inf= 45 9 45     
sqr= 3.205e-20  bst= 1.842e-20  num= 29  per=100000000  inf= 45 9 45     
sqr= 3233  bst= 1.842e-20  num= 30  per=100000000  inf= 45 9 45     
sqr= 1.221e+05  bst= 1.842e-20  num= 31  per=100000000  inf= 45 9 45     
sqr= 2479  bst= 1.842e-20  num= 32  per=100000000  inf= 45 9 45     
sqr= 2118  bst= 1.842e-20  num= 33  per=100000000  inf= 45 9 45     
sqr= 1036  bst= 1.842e-20  num= 34  per=100000000  inf= 45 9 45     
sqr= 8.727e+04  bst= 1.842e-20  num= 35  per=100000000  inf= 45 9 45     
sqr= 4845  bst= 1.842e-20  num= 36  per=100000000  inf= 45 9 45     
sqr= 239.2  bst= 1.842e-20  num= 37  per=100000000  inf= 45 9 45     
sqr= 3762  bst= 1.842e-20  num= 38  per=100000000  inf= 45 9 45     
sqr= 1947  bst= 1.842e-20  num= 39  per=100000000  inf= 45 9 45     
sqr= 2325  bst= 1.842e-20  num= 40  per=100000000  inf= 45 9 45     
sqr= 1938  bst= 1.842e-20  num= 41  per=100000000  inf= 45 9 45     
sqr= 1.452e-20  bst= 1.452e-20  num= 42  per=100000000  inf= 45 9 45     
sqr= 1.733e-07  bst= 1.452e-20  num= 43  per=100000000  inf= 45 9 45     
sqr= 3016  bst= 1.452e-20  num= 44  per=100000000  inf= 45 9 45     
sqr= 3520  bst= 1.452e-20  num= 45  per=100000000  inf= 45 9 45     
sqr= 1.117e+05  bst= 1.452e-20  num= 46  per=100000000  inf= 45 9 45     
sqr= 6.498e+04  bst= 1.452e-20  num= 47  per=100000000  inf= 45 9 45     
sqr= 882.4  bst= 1.452e-20  num= 48  per=100000000  inf= 45 9 45     
sqr= 8.252e+04  bst= 1.452e-20  num= 49  per=100000000  inf= 45 9 45     
sqr= 5.703e+04  bst= 1.452e-20  num= 50  per=100000000  inf= 45 9 45     
sqr= 5.79e-08  bst= 1.452e-20  num= 51  per=100000000  inf= 45 9 45     
sqr= 4.771e-20  bst= 1.452e-20  num= 52  per=100000000  inf= 45 9 45     
sqr= 2608  bst= 1.452e-20  num= 53  per=100000000  inf= 45 9 45     
