chain 0 + chain 2 = chain 1
Original matrix:
 1 -1  1
Reduced matrix:
 1 -1  1
dimension: 6
max non-zeros: 1
min non-zeros: 1
avg non-zeros: 1
we have 3 chains
1 are fixed
2 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
3 have radius non-zero
   1 of these are fixed
   2 of these are free

sqr= 2.515e-21  bst= 2.515e-21  num= 1  per=1  inf= 3 2 12     
sqr= 1.083e-23  bst= 1.083e-23  num= 2  per=100000000  inf= 3 2 12     
sqr= 4.993e-23  bst= 1.083e-23  num= 3  per=100000000  inf= 3 2 12     
sqr= 6.946e-24  bst= 6.946e-24  num= 4  per=100000000  inf= 3 2 12     
sqr= 1.542e-21  bst= 6.946e-24  num= 5  per=100000000  inf= 3 2 12     
sqr= 1.372e-23  bst= 6.946e-24  num= 6  per=100000000  inf= 3 2 12     
sqr= 1.485e-21  bst= 6.946e-24  num= 7  per=100000000  inf= 3 2 12     
sqr= 2236  bst= 6.946e-24  num= 8  per=100000000  inf= 3 2 12     
sqr= 285.8  bst= 6.946e-24  num= 9  per=100000000  inf= 3 2 12     
sqr= 1.601e-21  bst= 6.946e-24  num= 10  per=100000000  inf= 3 2 12     
sqr= 8.321e-22  bst= 6.946e-24  num= 11  per=100000000  inf= 3 2 12     
sqr= 338.6  bst= 6.946e-24  num= 12  per=100000000  inf= 3 2 12     
sqr= 296.8  bst= 6.946e-24  num= 13  per=100000000  inf= 3 2 12     
sqr= 4.315e-21  bst= 6.946e-24  num= 14  per=100000000  inf= 3 2 12     
sqr= 1.988e-21  bst= 6.946e-24  num= 15  per=100000000  inf= 3 2 12     
sqr= 1.876e-24  bst= 1.876e-24  num= 16  per=100000000  inf= 3 2 12     
sqr= 1.87e-23  bst= 1.876e-24  num= 17  per=100000000  inf= 3 2 12     
sqr= 5.029e-26  bst= 5.029e-26  num= 18  per=100000000  inf= 3 2 12     
sqr= 6.118e-24  bst= 5.029e-26  num= 19  per=100000000  inf= 3 2 12     
sqr= 8.592e-23  bst= 5.029e-26  num= 20  per=100000000  inf= 3 2 12     
sqr= 2012  bst= 5.029e-26  num= 21  per=100000000  inf= 3 2 12     
sqr= 1168  bst= 5.029e-26  num= 22  per=100000000  inf= 3 2 12     
sqr= 61.05  bst= 5.029e-26  num= 23  per=100000000  inf= 3 2 12     
sqr= 1.753e-22  bst= 5.029e-26  num= 24  per=100000000  inf= 3 2 12     
sqr= 1.068e-21  bst= 5.029e-26  num= 25  per=100000000  inf= 3 2 12     
sqr= 8.957e-24  bst= 5.029e-26  num= 26  per=100000000  inf= 3 2 12     
