Original matrix:

Reduced matrix:

dimension: 6
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
1 have radius non-zero
   0 of these are fixed
   1 of these are free

sqr= 8.797e-25  bst= 8.797e-25  num= 1  per=1  inf= 1 1 6     
sqr= 33.19  bst= 33.19  num= 2  per=100000000  inf= 1 1 6     
sqr= 297.2  bst= 33.19  num= 3  per=100000000  inf= 1 1 6     
sqr= 32.25  bst= 32.25  num= 4  per=100000000  inf= 1 1 6     
sqr= 3.91e-25  bst= 3.91e-25  num= 5  per=100000000  inf= 1 1 6     
sqr= 0.001447  bst= 3.91e-25  num= 6  per=100000000  inf= 1 1 6     
sqr= 1.461e-23  bst= 3.91e-25  num= 7  per=100000000  inf= 1 1 6     
sqr= 1106  bst= 3.91e-25  num= 8  per=100000000  inf= 1 1 6     
sqr= 6.185e-22  bst= 3.91e-25  num= 9  per=100000000  inf= 1 1 6     
sqr= 9.774e-26  bst= 9.774e-26  num= 10  per=100000000  inf= 1 1 6     
sqr= 9.475e-22  bst= 9.774e-26  num= 11  per=100000000  inf= 1 1 6     
sqr= 0.0006751  bst= 9.774e-26  num= 12  per=100000000  inf= 1 1 6     
sqr= 2.617e-25  bst= 9.774e-26  num= 13  per=100000000  inf= 1 1 6     
sqr= 3.821e-23  bst= 9.774e-26  num= 14  per=100000000  inf= 1 1 6     
sqr= 123.6  bst= 9.774e-26  num= 15  per=100000000  inf= 1 1 6     
sqr= 0.03786  bst= 9.774e-26  num= 16  per=100000000  inf= 1 1 6     
sqr= 1.075  bst= 9.774e-26  num= 17  per=100000000  inf= 1 1 6     
sqr= 0.008923  bst= 9.774e-26  num= 18  per=100000000  inf= 1 1 6     
sqr= 3.006e-22  bst= 9.774e-26  num= 19  per=100000000  inf= 1 1 6     
sqr= 7.27e-27  bst= 7.27e-27  num= 20  per=100000000  inf= 1 1 6     
sqr= 1.292e-26  bst= 7.27e-27  num= 21  per=100000000  inf= 1 1 6     
sqr= 1.784e-21  bst= 7.27e-27  num= 22  per=100000000  inf= 1 1 6     
sqr= 5.836e-26  bst= 7.27e-27  num= 23  per=100000000  inf= 1 1 6     
sqr= 3.413e-26  bst= 7.27e-27  num= 24  per=100000000  inf= 1 1 6     
sqr= 53.81  bst= 7.27e-27  num= 25  per=100000000  inf= 1 1 6     
sqr= 2.019e-28  bst= 2.019e-28  num= 26  per=100000000  inf= 1 1 6     
sqr= 2.916e-25  bst= 2.019e-28  num= 27  per=100000000  inf= 1 1 6     
sqr= 1.292e-26  bst= 2.019e-28  num= 28  per=100000000  inf= 1 1 6     
sqr= 0.005385  bst= 2.019e-28  num= 29  per=100000000  inf= 1 1 6     
sqr= 2.908e-26  bst= 2.019e-28  num= 30  per=100000000  inf= 1 1 6     
sqr= 5.049e-27  bst= 2.019e-28  num= 31  per=100000000  inf= 1 1 6     
sqr= 0.5308  bst= 2.019e-28  num= 32  per=100000000  inf= 1 1 6     
sqr= 5.836e-26  bst= 2.019e-28  num= 33  per=100000000  inf= 1 1 6     
sqr= 148.4  bst= 2.019e-28  num= 34  per=100000000  inf= 1 1 6     
sqr= 2.812e-24  bst= 2.019e-28  num= 35  per=100000000  inf= 1 1 6     
sqr= 479.9  bst= 2.019e-28  num= 36  per=100000000  inf= 1 1 6     
sqr= 2.019e-26  bst= 2.019e-28  num= 37  per=100000000  inf= 1 1 6     
sqr= 8.078e-26  bst= 2.019e-28  num= 38  per=100000000  inf= 1 1 6     
sqr= 0.4606  bst= 2.019e-28  num= 39  per=100000000  inf= 1 1 6     
sqr= 5.181e-21  bst= 2.019e-28  num= 40  per=100000000  inf= 1 1 6     
sqr= 6.185e-24  bst= 2.019e-28  num= 41  per=100000000  inf= 1 1 6     
sqr= 0.8066  bst= 2.019e-28  num= 42  per=100000000  inf= 1 1 6     
sqr= 4.089e-25  bst= 2.019e-28  num= 43  per=100000000  inf= 1 1 6     
sqr= 1.425e-24  bst= 2.019e-28  num= 44  per=100000000  inf= 1 1 6     
