Original matrix:

Reduced matrix:

dimension: 6
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
1 have radius zero
   0 of these are fixed
   1 of these are free
0 have radius non-zero
   0 of these are fixed
   0 of these are free

sqr= 1.203e-24  bst= 1.203e-24  num= 1  per=1  inf= 1 1 6     
sqr= 31.74  bst= 31.74  num= 2  per=100000000  inf= 1 1 6     
sqr= 1.583e-24  bst= 1.583e-24  num= 3  per=100000000  inf= 1 1 6     
sqr= 2.144e-24  bst= 1.583e-24  num= 4  per=100000000  inf= 1 1 6     
sqr= 774.9  bst= 1.583e-24  num= 5  per=100000000  inf= 1 1 6     
sqr= 247.8  bst= 1.583e-24  num= 6  per=100000000  inf= 1 1 6     
sqr= 5.68e-28  bst= 5.68e-28  num= 7  per=100000000  inf= 1 1 6     
sqr= 7.472e-27  bst= 5.68e-28  num= 8  per=100000000  inf= 1 1 6     
sqr= 7.63e-23  bst= 5.68e-28  num= 9  per=100000000  inf= 1 1 6     
sqr= 7.013e-24  bst= 5.68e-28  num= 10  per=100000000  inf= 1 1 6     
sqr= 1.805e-24  bst= 5.68e-28  num= 11  per=100000000  inf= 1 1 6     
sqr= 7.856e-26  bst= 5.68e-28  num= 12  per=100000000  inf= 1 1 6     
sqr= 407.4  bst= 5.68e-28  num= 13  per=100000000  inf= 1 1 6     
sqr= 0.7971  bst= 5.68e-28  num= 14  per=100000000  inf= 1 1 6     
sqr= 296.8  bst= 5.68e-28  num= 15  per=100000000  inf= 1 1 6     
sqr= 1018  bst= 5.68e-28  num= 16  per=100000000  inf= 1 1 6     
sqr= 2.07e-27  bst= 5.68e-28  num= 17  per=100000000  inf= 1 1 6     
sqr= 8.643e-22  bst= 5.68e-28  num= 18  per=100000000  inf= 1 1 6     
sqr= 7.995e-26  bst= 5.68e-28  num= 19  per=100000000  inf= 1 1 6     
sqr= 4.625e-26  bst= 5.68e-28  num= 20  per=100000000  inf= 1 1 6     
sqr= 1.227e-23  bst= 5.68e-28  num= 21  per=100000000  inf= 1 1 6     
sqr= 6.23e-23  bst= 5.68e-28  num= 22  per=100000000  inf= 1 1 6     
sqr= 914.9  bst= 5.68e-28  num= 23  per=100000000  inf= 1 1 6     
sqr= 444  bst= 5.68e-28  num= 24  per=100000000  inf= 1 1 6     
sqr= 367.6  bst= 5.68e-28  num= 25  per=100000000  inf= 1 1 6     
sqr= 1.423e-21  bst= 5.68e-28  num= 26  per=100000000  inf= 1 1 6     
sqr= 192  bst= 5.68e-28  num= 27  per=100000000  inf= 1 1 6     
sqr= 17.6  bst= 5.68e-28  num= 28  per=100000000  inf= 1 1 6     
sqr= 7.405e-22  bst= 5.68e-28  num= 29  per=100000000  inf= 1 1 6     
sqr= 659.3  bst= 5.68e-28  num= 30  per=100000000  inf= 1 1 6     
sqr= 98.79  bst= 5.68e-28  num= 31  per=100000000  inf= 1 1 6     
sqr= 2.704e-27  bst= 5.68e-28  num= 32  per=100000000  inf= 1 1 6     
sqr= 2.235e-22  bst= 5.68e-28  num= 33  per=100000000  inf= 1 1 6     
sqr= 8.349e-25  bst= 5.68e-28  num= 34  per=100000000  inf= 1 1 6     
sqr= 4.455e-25  bst= 5.68e-28  num= 35  per=100000000  inf= 1 1 6     
sqr= 3.981e-24  bst= 5.68e-28  num= 36  per=100000000  inf= 1 1 6     
sqr= 6.361e-22  bst= 5.68e-28  num= 37  per=100000000  inf= 1 1 6     
sqr= 5.427e-22  bst= 5.68e-28  num= 38  per=100000000  inf= 1 1 6     
sqr= 1.19e-25  bst= 5.68e-28  num= 39  per=100000000  inf= 1 1 6     
sqr= 2.379e-26  bst= 5.68e-28  num= 40  per=100000000  inf= 1 1 6     
sqr= 36.83  bst= 5.68e-28  num= 41  per=100000000  inf= 1 1 6     
sqr= 54.97  bst= 5.68e-28  num= 42  per=100000000  inf= 1 1 6     
sqr= 1.332e-21  bst= 5.68e-28  num= 43  per=100000000  inf= 1 1 6     
sqr= 2.858e-21  bst= 5.68e-28  num= 44  per=100000000  inf= 1 1 6     
sqr= 172.1  bst= 5.68e-28  num= 45  per=100000000  inf= 1 1 6     
sqr= 8.016e-24  bst= 5.68e-28  num= 46  per=100000000  inf= 1 1 6     
sqr= 4.503e-23  bst= 5.68e-28  num= 47  per=100000000  inf= 1 1 6     
sqr= 174.3  bst= 5.68e-28  num= 48  per=100000000  inf= 1 1 6     
sqr= 5.995  bst= 5.68e-28  num= 49  per=100000000  inf= 1 1 6     
sqr= 1.141e-21  bst= 5.68e-28  num= 50  per=100000000  inf= 1 1 6     
sqr= 5.425e-24  bst= 5.68e-28  num= 51  per=100000000  inf= 1 1 6     
sqr= 151.5  bst= 5.68e-28  num= 52  per=100000000  inf= 1 1 6     
sqr= 9.053e-25  bst= 5.68e-28  num= 53  per=100000000  inf= 1 1 6     
sqr= 2.397e-23  bst= 5.68e-28  num= 54  per=100000000  inf= 1 1 6     
sqr= 5.296e-25  bst= 5.68e-28  num= 55  per=100000000  inf= 1 1 6     
sqr= 460.1  bst= 5.68e-28  num= 56  per=100000000  inf= 1 1 6     
sqr= 1.849e-26  bst= 5.68e-28  num= 57  per=100000000  inf= 1 1 6     
sqr= 34.31  bst= 5.68e-28  num= 58  per=100000000  inf= 1 1 6     
sqr= 8.984e-22  bst= 5.68e-28  num= 59  per=100000000  inf= 1 1 6     
sqr= 21.38  bst= 5.68e-28  num= 60  per=100000000  inf= 1 1 6     
sqr= 1.689  bst= 5.68e-28  num= 61  per=100000000  inf= 1 1 6     
sqr= 618.5  bst= 5.68e-28  num= 62  per=100000000  inf= 1 1 6     
sqr= 9.706e-27  bst= 5.68e-28  num= 63  per=100000000  inf= 1 1 6     
sqr= 5.892e-25  bst= 5.68e-28  num= 64  per=100000000  inf= 1 1 6     
sqr= 1587  bst= 5.68e-28  num= 65  per=100000000  inf= 1 1 6     
sqr= 313.6  bst= 5.68e-28  num= 66  per=100000000  inf= 1 1 6     
sqr= 5.955e-23  bst= 5.68e-28  num= 67  per=100000000  inf= 1 1 6     
sqr= 286.9  bst= 5.68e-28  num= 68  per=100000000  inf= 1 1 6     
sqr= 1.256e-24  bst= 5.68e-28  num= 69  per=100000000  inf= 1 1 6     
sqr= 7.182e-24  bst= 5.68e-28  num= 70  per=100000000  inf= 1 1 6     
sqr= 9.445e-24  bst= 5.68e-28  num= 71  per=100000000  inf= 1 1 6     
sqr= 5.375e-25  bst= 5.68e-28  num= 72  per=100000000  inf= 1 1 6     
sqr= 5.828e-24  bst= 5.68e-28  num= 73  per=100000000  inf= 1 1 6     
sqr= 1.49e-23  bst= 5.68e-28  num= 74  per=100000000  inf= 1 1 6     
sqr= 4.683e-24  bst= 5.68e-28  num= 75  per=100000000  inf= 1 1 6     
sqr= 2.379e-26  bst= 5.68e-28  num= 76  per=100000000  inf= 1 1 6     
sqr= 2.739e-25  bst= 5.68e-28  num= 77  per=100000000  inf= 1 1 6     
sqr= 1.845e-23  bst= 5.68e-28  num= 78  per=100000000  inf= 1 1 6     
sqr= 2.16e-26  bst= 5.68e-28  num= 79  per=100000000  inf= 1 1 6     
sqr= 4.431e-23  bst= 5.68e-28  num= 80  per=100000000  inf= 1 1 6     
sqr= 1.362e-24  bst= 5.68e-28  num= 81  per=100000000  inf= 1 1 6     
sqr= 1.292e-26  bst= 5.68e-28  num= 82  per=100000000  inf= 1 1 6     
sqr= 1214  bst= 5.68e-28  num= 83  per=100000000  inf= 1 1 6     
sqr= 5.099e-21  bst= 5.68e-28  num= 84  per=100000000  inf= 1 1 6     
sqr= 3.331e-25  bst= 5.68e-28  num= 85  per=100000000  inf= 1 1 6     
sqr= 195.8  bst= 5.68e-28  num= 86  per=100000000  inf= 1 1 6     
sqr= 389.3  bst= 5.68e-28  num= 87  per=100000000  inf= 1 1 6     
