dimension: 6
max non-zeros: 6
min non-zeros: 1
avg non-zeros: 2
we have 28 chains
21 are fixed
7 are free
7 have radius zero
   6 of these are fixed
   1 of these are free
21 have radius non-zero
   15 of these are fixed
   6 of these are free

sqr= 120.9  bst= 120.9  num= 1  per=1  inf= 28 7 42     
sqr= 5.648  bst= 5.648  num= 2  per=100000000  inf= 28 7 42     
sqr= 4.232e-20  bst= 4.232e-20  num= 3  per=100000000  inf= 28 7 42     
sqr= 31.36  bst= 4.232e-20  num= 4  per=100000000  inf= 28 7 42     
sqr= 0.5445  bst= 4.232e-20  num= 5  per=100000000  inf= 28 7 42     
sqr= 76.66  bst= 4.232e-20  num= 6  per=100000000  inf= 28 7 42     
sqr= 4.833e+04  bst= 4.232e-20  num= 7  per=100000000  inf= 28 7 42     
sqr= 213.9  bst= 4.232e-20  num= 8  per=100000000  inf= 28 7 42     
sqr= 3.058e+04  bst= 4.232e-20  num= 9  per=100000000  inf= 28 7 42     
sqr= 9.005e+04  bst= 4.232e-20  num= 10  per=100000000  inf= 28 7 42     
sqr= 47.59  bst= 4.232e-20  num= 11  per=100000000  inf= 28 7 42     
sqr= 9.534e-20  bst= 4.232e-20  num= 12  per=100000000  inf= 28 7 42     
sqr= 9.621e+04  bst= 4.232e-20  num= 13  per=100000000  inf= 28 7 42     
sqr= 2.313e-19  bst= 4.232e-20  num= 14  per=100000000  inf= 28 7 42     
sqr= 0.00368  bst= 4.232e-20  num= 15  per=100000000  inf= 28 7 42     
sqr= 47.23  bst= 4.232e-20  num= 16  per=100000000  inf= 28 7 42     
sqr= 38.76  bst= 4.232e-20  num= 17  per=100000000  inf= 28 7 42     
sqr= 1.672e-20  bst= 1.672e-20  num= 18  per=100000000  inf= 28 7 42     
sqr= 7.217  bst= 1.672e-20  num= 19  per=100000000  inf= 28 7 42     
sqr= 6.92  bst= 1.672e-20  num= 20  per=100000000  inf= 28 7 42     
sqr= 30.38  bst= 1.672e-20  num= 21  per=100000000  inf= 28 7 42     
sqr= 5.826e-16  bst= 1.672e-20  num= 22  per=100000000  inf= 28 7 42     
sqr= 5.376e-19  bst= 1.672e-20  num= 23  per=100000000  inf= 28 7 42     
sqr= 1.144  bst= 1.672e-20  num= 24  per=100000000  inf= 28 7 42     
sqr= 1.831e-14  bst= 1.672e-20  num= 25  per=100000000  inf= 28 7 42     
sqr= 3.669e+04  bst= 1.672e-20  num= 26  per=100000000  inf= 28 7 42     
sqr= 3.818e-19  bst= 1.672e-20  num= 27  per=100000000  inf= 28 7 42     
sqr= 52.45  bst= 1.672e-20  num= 28  per=100000000  inf= 28 7 42     
sqr= 3.238e+04  bst= 1.672e-20  num= 29  per=100000000  inf= 28 7 42     
sqr= 1.866e+04  bst= 1.672e-20  num= 30  per=100000000  inf= 28 7 42     
sqr= 0.8295  bst= 1.672e-20  num= 31  per=100000000  inf= 28 7 42     
