dimension: 6
max non-zeros: 10
min non-zeros: 1
avg non-zeros: 2
we have 66 chains
55 are fixed
11 are free
18 have radius zero
   15 of these are fixed
   3 of these are free
48 have radius non-zero
   40 of these are fixed
   8 of these are free

sqr= 3375  bst= 3375  num= 1  per=1  inf= 66 11 66     
sqr= 4673  bst= 4673  num= 2  per=100000000  inf= 66 11 66     
sqr= 1.979e+05  bst= 4673  num= 3  per=100000000  inf= 66 11 66     
sqr= 3763  bst= 3763  num= 4  per=100000000  inf= 66 11 66     
sqr= 1.591e+05  bst= 3763  num= 5  per=100000000  inf= 66 11 66     
sqr= 3921  bst= 3763  num= 6  per=100000000  inf= 66 11 66     
sqr= 2133  bst= 2133  num= 7  per=100000000  inf= 66 11 66     
sqr= 4304  bst= 2133  num= 8  per=100000000  inf= 66 11 66     
sqr= 4139  bst= 2133  num= 9  per=100000000  inf= 66 11 66     
sqr= 5304  bst= 2133  num= 10  per=100000000  inf= 66 11 66     
sqr= 3485  bst= 2133  num= 11  per=100000000  inf= 66 11 66     
sqr= 5002  bst= 2133  num= 12  per=100000000  inf= 66 11 66     
sqr= 1870  bst= 1870  num= 13  per=100000000  inf= 66 11 66     
sqr= 1.794e+05  bst= 1870  num= 14  per=100000000  inf= 66 11 66     
sqr= 6141  bst= 1870  num= 15  per=100000000  inf= 66 11 66     
sqr= 7548  bst= 1870  num= 16  per=100000000  inf= 66 11 66     
sqr= 3939  bst= 1870  num= 17  per=100000000  inf= 66 11 66     
sqr= 5195  bst= 1870  num= 18  per=100000000  inf= 66 11 66     
sqr= 1.034e+04  bst= 1870  num= 19  per=100000000  inf= 66 11 66     
sqr= 5849  bst= 1870  num= 20  per=100000000  inf= 66 11 66     
sqr= 1.05e+05  bst= 1870  num= 21  per=100000000  inf= 66 11 66     
sqr= 5533  bst= 1870  num= 22  per=100000000  inf= 66 11 66     
sqr= 4411  bst= 1870  num= 23  per=100000000  inf= 66 11 66     
sqr= 1.602e+05  bst= 1870  num= 24  per=100000000  inf= 66 11 66     
sqr= 4342  bst= 1870  num= 25  per=100000000  inf= 66 11 66     
sqr= 7282  bst= 1870  num= 26  per=100000000  inf= 66 11 66     
sqr= 6243  bst= 1870  num= 27  per=100000000  inf= 66 11 66     
sqr= 3493  bst= 1870  num= 28  per=100000000  inf= 66 11 66     
sqr= 2666  bst= 1870  num= 29  per=100000000  inf= 66 11 66     
sqr= 3655  bst= 1870  num= 30  per=100000000  inf= 66 11 66     
sqr= 1865  bst= 1865  num= 31  per=100000000  inf= 66 11 66     
sqr= 1680  bst= 1680  num= 32  per=100000000  inf= 66 11 66     
sqr= 1425  bst= 1425  num= 33  per=100000000  inf= 66 11 66     
sqr= 4522  bst= 1425  num= 34  per=100000000  inf= 66 11 66     
sqr= 4586  bst= 1425  num= 35  per=100000000  inf= 66 11 66     
sqr= 7341  bst= 1425  num= 36  per=100000000  inf= 66 11 66     
sqr= 2697  bst= 1425  num= 37  per=100000000  inf= 66 11 66     
sqr= 6289  bst= 1425  num= 38  per=100000000  inf= 66 11 66     
sqr= 5475  bst= 1425  num= 39  per=100000000  inf= 66 11 66     
sqr= 4879  bst= 1425  num= 40  per=100000000  inf= 66 11 66     
sqr= 7533  bst= 1425  num= 41  per=100000000  inf= 66 11 66     
sqr= 1690  bst= 1425  num= 42  per=100000000  inf= 66 11 66     
sqr= 8179  bst= 1425  num= 43  per=100000000  inf= 66 11 66     
sqr= 1181  bst= 1181  num= 44  per=100000000  inf= 66 11 66     
sqr= 3538  bst= 1181  num= 45  per=100000000  inf= 66 11 66     
sqr= 8779  bst= 1181  num= 46  per=100000000  inf= 66 11 66     
sqr= 6592  bst= 1181  num= 47  per=100000000  inf= 66 11 66     
sqr= 1211  bst= 1181  num= 48  per=100000000  inf= 66 11 66     
