dimension: 10
max non-zeros: 8
min non-zeros: 1
avg non-zeros: 2
we have 45 chains
36 are fixed
9 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
45 have radius non-zero
   36 of these are fixed
   9 of these are free

sqr= 5.885e-21  bst= 5.885e-21  num= 1  per=1  inf= 45 9 90     
sqr= 6.314e+04  bst= 6.314e+04  num= 2  per=100000000  inf= 45 9 90     
sqr= 6.135e-21  bst= 6.135e-21  num= 3  per=100000000  inf= 45 9 90     
sqr= 2.203e-20  bst= 6.135e-21  num= 4  per=100000000  inf= 45 9 90     
sqr= 5.791e-21  bst= 5.791e-21  num= 5  per=100000000  inf= 45 9 90     
sqr= 5.412e-21  bst= 5.412e-21  num= 6  per=100000000  inf= 45 9 90     
sqr= 5.075e-21  bst= 5.075e-21  num= 7  per=100000000  inf= 45 9 90     
sqr= 7.012e+04  bst= 5.075e-21  num= 8  per=100000000  inf= 45 9 90     
sqr= 1.971e-20  bst= 5.075e-21  num= 9  per=100000000  inf= 45 9 90     
sqr= 1.119e-20  bst= 5.075e-21  num= 10  per=100000000  inf= 45 9 90     
sqr= 1.118e-20  bst= 5.075e-21  num= 11  per=100000000  inf= 45 9 90     
sqr= 1.669e-20  bst= 5.075e-21  num= 12  per=100000000  inf= 45 9 90     
sqr= 1.189e-20  bst= 5.075e-21  num= 13  per=100000000  inf= 45 9 90     
sqr= 8.085e+04  bst= 5.075e-21  num= 14  per=100000000  inf= 45 9 90     
sqr= 4.887e-21  bst= 4.887e-21  num= 15  per=100000000  inf= 45 9 90     
sqr= 3.862e-21  bst= 3.862e-21  num= 16  per=100000000  inf= 45 9 90     
sqr= 6.84e-21  bst= 3.862e-21  num= 17  per=100000000  inf= 45 9 90     
sqr= 1.003e-20  bst= 3.862e-21  num= 18  per=100000000  inf= 45 9 90     
sqr= 1.087e-20  bst= 3.862e-21  num= 19  per=100000000  inf= 45 9 90     
sqr= 8.055e+04  bst= 3.862e-21  num= 20  per=100000000  inf= 45 9 90     
sqr= 7.914e-21  bst= 3.862e-21  num= 21  per=100000000  inf= 45 9 90     
sqr= 8.187e-21  bst= 3.862e-21  num= 22  per=100000000  inf= 45 9 90     
sqr= 5.475e-21  bst= 3.862e-21  num= 23  per=100000000  inf= 45 9 90     
sqr= 8.016e-21  bst= 3.862e-21  num= 24  per=100000000  inf= 45 9 90     
sqr= 9.116e-21  bst= 3.862e-21  num= 25  per=100000000  inf= 45 9 90     
sqr= 7.232e-21  bst= 3.862e-21  num= 26  per=100000000  inf= 45 9 90     
sqr= 1.134e-20  bst= 3.862e-21  num= 27  per=100000000  inf= 45 9 90     
sqr= 3.927e-21  bst= 3.862e-21  num= 28  per=100000000  inf= 45 9 90     
sqr= 5.18e-21  bst= 3.862e-21  num= 29  per=100000000  inf= 45 9 90     
sqr= 1.163e-20  bst= 3.862e-21  num= 30  per=100000000  inf= 45 9 90     
sqr= 4.36e-21  bst= 3.862e-21  num= 31  per=100000000  inf= 45 9 90     
sqr= 1.071e-20  bst= 3.862e-21  num= 32  per=100000000  inf= 45 9 90     
sqr= 6.158e+04  bst= 3.862e-21  num= 33  per=100000000  inf= 45 9 90     
sqr= 5.815e-21  bst= 3.862e-21  num= 34  per=100000000  inf= 45 9 90     
sqr= 9.888e-21  bst= 3.862e-21  num= 35  per=100000000  inf= 45 9 90     
sqr= 7.937e+04  bst= 3.862e-21  num= 36  per=100000000  inf= 45 9 90     
sqr= 7.798e-21  bst= 3.862e-21  num= 37  per=100000000  inf= 45 9 90     
sqr= 8.691e-21  bst= 3.862e-21  num= 38  per=100000000  inf= 45 9 90     
sqr= 1.276e+04  bst= 3.862e-21  num= 39  per=100000000  inf= 45 9 90     
sqr= 6.144e-21  bst= 3.862e-21  num= 40  per=100000000  inf= 45 9 90     
sqr= 8.556e-21  bst= 3.862e-21  num= 41  per=100000000  inf= 45 9 90     
sqr= 3.721e-21  bst= 3.721e-21  num= 42  per=100000000  inf= 45 9 90     
sqr= 2.923e-21  bst= 2.923e-21  num= 43  per=100000000  inf= 45 9 90     
sqr= 5.505e+04  bst= 2.923e-21  num= 44  per=100000000  inf= 45 9 90     
sqr= 1.161e-20  bst= 2.923e-21  num= 45  per=100000000  inf= 45 9 90     
sqr= 1.616e-21  bst= 1.616e-21  num= 46  per=100000000  inf= 45 9 90     
sqr= 2.126e-21  bst= 1.616e-21  num= 47  per=100000000  inf= 45 9 90     
sqr= 8.631e-21  bst= 1.616e-21  num= 48  per=100000000  inf= 45 9 90     
sqr= 1.062e-20  bst= 1.616e-21  num= 49  per=100000000  inf= 45 9 90     
sqr= 1.033e-20  bst= 1.616e-21  num= 50  per=100000000  inf= 45 9 90     
sqr= 8.38e-21  bst= 1.616e-21  num= 51  per=100000000  inf= 45 9 90     
sqr= 7.742e+04  bst= 1.616e-21  num= 52  per=100000000  inf= 45 9 90     
sqr= 4.844e-21  bst= 1.616e-21  num= 53  per=100000000  inf= 45 9 90     
sqr= 5.521e-21  bst= 1.616e-21  num= 54  per=100000000  inf= 45 9 90     
sqr= 1.735e-20  bst= 1.616e-21  num= 55  per=100000000  inf= 45 9 90     
sqr= 2.934e-21  bst= 1.616e-21  num= 56  per=100000000  inf= 45 9 90     
sqr= 2.55e-21  bst= 1.616e-21  num= 57  per=100000000  inf= 45 9 90     
sqr= 1.358e-20  bst= 1.616e-21  num= 58  per=100000000  inf= 45 9 90     
sqr= 4.586e-21  bst= 1.616e-21  num= 59  per=100000000  inf= 45 9 90     
sqr= 1.317e-20  bst= 1.616e-21  num= 60  per=100000000  inf= 45 9 90     
sqr= 6.297e-21  bst= 1.616e-21  num= 61  per=100000000  inf= 45 9 90     
sqr= 1.019e-20  bst= 1.616e-21  num= 62  per=100000000  inf= 45 9 90     
sqr= 1.105e-20  bst= 1.616e-21  num= 63  per=100000000  inf= 45 9 90     
sqr= 3.571e-21  bst= 1.616e-21  num= 64  per=100000000  inf= 45 9 90     
sqr= 9.627e-21  bst= 1.616e-21  num= 65  per=100000000  inf= 45 9 90     
sqr= 1.09e-20  bst= 1.616e-21  num= 66  per=100000000  inf= 45 9 90     
sqr= 1.626e+04  bst= 1.616e-21  num= 67  per=100000000  inf= 45 9 90     
sqr= 6.33e-21  bst= 1.616e-21  num= 68  per=100000000  inf= 45 9 90     
sqr= 1.024e-20  bst= 1.616e-21  num= 69  per=100000000  inf= 45 9 90     
sqr= 7.766e-21  bst= 1.616e-21  num= 70  per=100000000  inf= 45 9 90     
sqr= 1.56e+04  bst= 1.616e-21  num= 71  per=100000000  inf= 45 9 90     
sqr= 1.657e+04  bst= 1.616e-21  num= 72  per=100000000  inf= 45 9 90     
sqr= 6.324e-21  bst= 1.616e-21  num= 73  per=100000000  inf= 45 9 90     
sqr= 2.18e+04  bst= 1.616e-21  num= 74  per=100000000  inf= 45 9 90     
sqr= 3.277e-21  bst= 1.616e-21  num= 75  per=100000000  inf= 45 9 90     
sqr= 1.581e-20  bst= 1.616e-21  num= 76  per=100000000  inf= 45 9 90     
sqr= 6.005e-21  bst= 1.616e-21  num= 77  per=100000000  inf= 45 9 90     
sqr= 9.149e-21  bst= 1.616e-21  num= 78  per=100000000  inf= 45 9 90     
sqr= 7.964e-21  bst= 1.616e-21  num= 79  per=100000000  inf= 45 9 90     
sqr= 4.332e-21  bst= 1.616e-21  num= 80  per=100000000  inf= 45 9 90     
sqr= 1.229e-20  bst= 1.616e-21  num= 81  per=100000000  inf= 45 9 90     
sqr= 9.765e-21  bst= 1.616e-21  num= 82  per=100000000  inf= 45 9 90     
sqr= 2.311e-20  bst= 1.616e-21  num= 83  per=100000000  inf= 45 9 90     
sqr= 1.18e+04  bst= 1.616e-21  num= 84  per=100000000  inf= 45 9 90     
sqr= 1.836e-20  bst= 1.616e-21  num= 85  per=100000000  inf= 45 9 90     
sqr= 1.516e-20  bst= 1.616e-21  num= 86  per=100000000  inf= 45 9 90     
sqr= 5.335e-21  bst= 1.616e-21  num= 87  per=100000000  inf= 45 9 90     
sqr= 1.021e-20  bst= 1.616e-21  num= 88  per=100000000  inf= 45 9 90     
sqr= 5.406e-21  bst= 1.616e-21  num= 89  per=100000000  inf= 45 9 90     
sqr= 9.619e-21  bst= 1.616e-21  num= 90  per=100000000  inf= 45 9 90     
sqr= 1.325e-20  bst= 1.616e-21  num= 91  per=100000000  inf= 45 9 90     
sqr= 8998  bst= 1.616e-21  num= 92  per=100000000  inf= 45 9 90     
sqr= 9.163e-21  bst= 1.616e-21  num= 93  per=100000000  inf= 45 9 90     
sqr= 1.145e-20  bst= 1.616e-21  num= 94  per=100000000  inf= 45 9 90     
sqr= 1.329e+04  bst= 1.616e-21  num= 95  per=100000000  inf= 45 9 90     
sqr= 2.467e-20  bst= 1.616e-21  num= 96  per=100000000  inf= 45 9 90     
sqr= 2.913e-21  bst= 1.616e-21  num= 97  per=100000000  inf= 45 9 90     
sqr= 3.651e-21  bst= 1.616e-21  num= 98  per=100000000  inf= 45 9 90     
sqr= 5.552e+04  bst= 1.616e-21  num= 99  per=100000000  inf= 45 9 90     
sqr= 8.142e-21  bst= 1.616e-21  num= 100  per=100000000  inf= 45 9 90     
sqr= 5.271e-21  bst= 1.616e-21  num= 101  per=100000000  inf= 45 9 90     
sqr= 5.551e+04  bst= 1.616e-21  num= 102  per=100000000  inf= 45 9 90     
sqr= 2.279e+04  bst= 1.616e-21  num= 103  per=100000000  inf= 45 9 90     
sqr= 2.797e-21  bst= 1.616e-21  num= 104  per=100000000  inf= 45 9 90     
sqr= 1.024e-20  bst= 1.616e-21  num= 105  per=100000000  inf= 45 9 90     
sqr= 3.976e-21  bst= 1.616e-21  num= 106  per=100000000  inf= 45 9 90     
sqr= 5.601e-21  bst= 1.616e-21  num= 107  per=100000000  inf= 45 9 90     
sqr= 1.749e+04  bst= 1.616e-21  num= 108  per=100000000  inf= 45 9 90     
sqr= 1.385e-20  bst= 1.616e-21  num= 109  per=100000000  inf= 45 9 90     
sqr= 2.78e-21  bst= 1.616e-21  num= 110  per=100000000  inf= 45 9 90     
sqr= 3.524e-21  bst= 1.616e-21  num= 111  per=100000000  inf= 45 9 90     
sqr= 1.384e-20  bst= 1.616e-21  num= 112  per=100000000  inf= 45 9 90     
sqr= 7.367e-21  bst= 1.616e-21  num= 113  per=100000000  inf= 45 9 90     
sqr= 2.543e-21  bst= 1.616e-21  num= 114  per=100000000  inf= 45 9 90     
sqr= 5.114e-21  bst= 1.616e-21  num= 115  per=100000000  inf= 45 9 90     
sqr= 7.439e+04  bst= 1.616e-21  num= 116  per=100000000  inf= 45 9 90     
sqr= 4.052e-21  bst= 1.616e-21  num= 117  per=100000000  inf= 45 9 90     
sqr= 1.563e-20  bst= 1.616e-21  num= 118  per=100000000  inf= 45 9 90     
sqr= 2.206e-21  bst= 1.616e-21  num= 119  per=100000000  inf= 45 9 90     
sqr= 2.495e-20  bst= 1.616e-21  num= 120  per=100000000  inf= 45 9 90     
sqr= 9.921e-21  bst= 1.616e-21  num= 121  per=100000000  inf= 45 9 90     
sqr= 9060  bst= 1.616e-21  num= 122  per=100000000  inf= 45 9 90     
sqr= 1.948e-20  bst= 1.616e-21  num= 123  per=100000000  inf= 45 9 90     
sqr= 1.698e-20  bst= 1.616e-21  num= 124  per=100000000  inf= 45 9 90     
sqr= 6.273e-21  bst= 1.616e-21  num= 125  per=100000000  inf= 45 9 90     
sqr= 5.86e-21  bst= 1.616e-21  num= 126  per=100000000  inf= 45 9 90     
sqr= 4.655e-21  bst= 1.616e-21  num= 127  per=100000000  inf= 45 9 90     
sqr= 6.709e-21  bst= 1.616e-21  num= 128  per=100000000  inf= 45 9 90     
sqr= 1.89e-20  bst= 1.616e-21  num= 129  per=100000000  inf= 45 9 90     
sqr= 7.153e-21  bst= 1.616e-21  num= 130  per=100000000  inf= 45 9 90     
sqr= 1.197e-20  bst= 1.616e-21  num= 131  per=100000000  inf= 45 9 90     
sqr= 1.093e-20  bst= 1.616e-21  num= 132  per=100000000  inf= 45 9 90     
sqr= 2.9e-21  bst= 1.616e-21  num= 133  per=100000000  inf= 45 9 90     
sqr= 6.909e-21  bst= 1.616e-21  num= 134  per=100000000  inf= 45 9 90     
sqr= 6.259e-21  bst= 1.616e-21  num= 135  per=100000000  inf= 45 9 90     
sqr= 9.066e-21  bst= 1.616e-21  num= 136  per=100000000  inf= 45 9 90     
sqr= 2.136e-20  bst= 1.616e-21  num= 137  per=100000000  inf= 45 9 90     
sqr= 5.957e-21  bst= 1.616e-21  num= 138  per=100000000  inf= 45 9 90     
sqr= 1.191e-20  bst= 1.616e-21  num= 139  per=100000000  inf= 45 9 90     
sqr= 7.022e-21  bst= 1.616e-21  num= 140  per=100000000  inf= 45 9 90     
sqr= 1.046e-20  bst= 1.616e-21  num= 141  per=100000000  inf= 45 9 90     
sqr= 2.1e+04  bst= 1.616e-21  num= 142  per=100000000  inf= 45 9 90     
sqr= 8.835e-21  bst= 1.616e-21  num= 143  per=100000000  inf= 45 9 90     
sqr= 3.504e-21  bst= 1.616e-21  num= 144  per=100000000  inf= 45 9 90     
sqr= 1.234e-20  bst= 1.616e-21  num= 145  per=100000000  inf= 45 9 90     
sqr= 4.652e-21  bst= 1.616e-21  num= 146  per=100000000  inf= 45 9 90     
sqr= 2.819e-21  bst= 1.616e-21  num= 147  per=100000000  inf= 45 9 90     
sqr= 1.314e-20  bst= 1.616e-21  num= 148  per=100000000  inf= 45 9 90     
sqr= 2.255e-20  bst= 1.616e-21  num= 149  per=100000000  inf= 45 9 90     
