dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=1.266e+06  alp=0.1  con= 0 / 0  190 19 190     
sqr=1.251e+06  alp=0.08  con= 0 / 0  190 19 190     
sqr=1.181e+06  alp=0.064  con= 0 / 0  190 19 190     
sqr=1.082e+06  alp=0.0512  con= 0 / 0  190 19 190     
sqr=9.745e+05  alp=0.04096  con= 0 / 0  190 19 190     
sqr=8.694e+05  alp=0.03277  con= 0 / 0  190 19 190     
sqr=7.757e+05  alp=0.02621  con= 0 / 0  190 19 190     
sqr=6.973e+05  alp=0.02097  con= 0 / 0  190 19 190     
sqr=6.441e+05  alp=0.01678  con= 0 / 0  190 19 190     
sqr=6.071e+05  alp=0.01342  con= 0 / 0  190 19 190     
sqr=5.809e+05  alp=0.01074  con= 0 / 0  190 19 190     
sqr=5.578e+05  alp=0.00859  con= 0 / 0  190 19 190     
sqr=5.379e+05  alp=0.006872  con= 0 / 0  190 19 190     
sqr=5.209e+05  alp=0.005498  con= 0 / 0  190 19 190     
sqr=5.083e+05  alp=0.004398  con= 0 / 0  190 19 190     
sqr=4.974e+05  alp=0.003518  con= 0 / 0  190 19 190     
sqr=4.892e+05  alp=0.002815  con= 0 / 0  190 19 190     
sqr=4.829e+05  alp=0.002252  con= 0 / 0  190 19 190     
sqr=4.775e+05  alp=0.001801  con= 0 / 0  190 19 190     
sqr=4.728e+05  alp=0.001441  con= 0 / 0  190 19 190     
sqr=4.691e+05  alp=0.001153  con= 0 / 0  190 19 190     
sqr=4.663e+05  alp=0.0009223  con= 0 / 0  190 19 190     
sqr=4.641e+05  alp=0.0007379  con= 0 / 0  190 19 190     
sqr=4.624e+05  alp=0.0005903  con= 0 / 0  190 19 190     
sqr=4.611e+05  alp=0.0004722  con= 0 / 0  190 19 190     
sqr=4.601e+05  alp=0.0003778  con= 0 / 0  190 19 190     
sqr=4.593e+05  alp=0.0003022  con= 0 / 0  190 19 190     
sqr=4.586e+05  alp=0.0002418  con= 0 / 0  190 19 190     
sqr=4.581e+05  alp=0.0001934  con= 0 / 0  190 19 190     
sqr=4.577e+05  alp=0.0001547  con= 0 / 0  190 19 190     
sqr=4.573e+05  alp=0.0001238  con= 0 / 0  190 19 190     
sqr=4.57e+05  alp=9.904e-05  con= 0 / 0  190 19 190     
sqr=4.567e+05  alp=7.923e-05  con= 0 / 0  190 19 190     
sqr=4.565e+05  alp=6.338e-05  con= 0 / 0  190 19 190     
sqr=4.563e+05  alp=5.071e-05  con= 0 / 0  190 19 190     
sqr=4.561e+05  alp=4.056e-05  con= 0 / 0  190 19 190     
sqr=4.56e+05  alp=3.245e-05  con= 0 / 0  190 19 190     
sqr=4.559e+05  alp=2.596e-05  con= 0 / 0  190 19 190     
sqr=4.558e+05  alp=2.077e-05  con= 0 / 0  190 19 190     
sqr=4.557e+05  alp=1.662e-05  con= 0 / 0  190 19 190     
sqr=4.556e+05  alp=1.329e-05  con= 0 / 0  190 19 190     
sqr=4.556e+05  alp=1.063e-05  con= 0 / 0  190 19 190     
sqr=4.556e+05  alp=8.507e-06  con= 0 / 0  190 19 190     
sqr=4.555e+05  alp=6.806e-06  con= 0 / 0  190 19 190     
sqr=4.555e+05  alp=5.445e-06  con= 0 / 0  190 19 190     
sqr=4.555e+05  alp=4.356e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.484e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.788e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.23e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.784e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.427e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.142e-06  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=9.134e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=7.308e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=5.846e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.677e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.741e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.993e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.395e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.916e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.532e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.226e-07  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=9.808e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=7.846e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=6.277e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=5.022e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.017e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.214e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.571e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.057e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.646e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.316e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.053e-08  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=8.425e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=6.74e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=5.392e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.314e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.451e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.761e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.209e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.767e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.413e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.131e-09  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=9.046e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=7.237e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=5.79e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.632e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.705e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.964e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.371e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.897e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.518e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.214e-10  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=9.713e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=7.771e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=6.217e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.973e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.979e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.183e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.546e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.037e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.63e-11  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.304e-11  con= 0 / 0  190 19 190     
