dimension: 10
max non-zeros: 13
min non-zeros: 1
avg non-zeros: 2
we have 105 chains
91 are fixed
14 are free
30 have radius zero
   26 of these are fixed
   4 of these are free
75 have radius non-zero
   65 of these are fixed
   10 of these are free

sqr=4.809e+05  alp=0.1  con= 0 / 0  105 14 140     
sqr=4.708e+05  alp=0.08  con= 0 / 0  105 14 140     
sqr=4.245e+05  alp=0.064  con= 0 / 0  105 14 140     
sqr=3.632e+05  alp=0.0512  con= 0 / 0  105 14 140     
sqr=3.016e+05  alp=0.04096  con= 0 / 0  105 14 140     
sqr=2.474e+05  alp=0.03277  con= 0 / 0  105 14 140     
sqr=2.029e+05  alp=0.02621  con= 0 / 0  105 14 140     
sqr=1.682e+05  alp=0.02097  con= 0 / 0  105 14 140     
sqr=1.418e+05  alp=0.01678  con= 0 / 0  105 14 140     
sqr=1.217e+05  alp=0.01342  con= 0 / 0  105 14 140     
sqr=1.06e+05  alp=0.01074  con= 0 / 0  105 14 140     
sqr=9.32e+04  alp=0.00859  con= 0 / 0  105 14 140     
sqr=8.248e+04  alp=0.006872  con= 0 / 0  105 14 140     
sqr=7.358e+04  alp=0.005498  con= 0 / 0  105 14 140     
sqr=6.628e+04  alp=0.004398  con= 0 / 0  105 14 140     
sqr=6.082e+04  alp=0.003518  con= 0 / 0  105 14 140     
sqr=5.673e+04  alp=0.002815  con= 0 / 0  105 14 140     
sqr=5.363e+04  alp=0.002252  con= 0 / 0  105 14 140     
sqr=5.127e+04  alp=0.001801  con= 0 / 0  105 14 140     
sqr=4.946e+04  alp=0.001441  con= 0 / 0  105 14 140     
sqr=4.807e+04  alp=0.001153  con= 0 / 0  105 14 140     
sqr=4.699e+04  alp=0.0009223  con= 0 / 0  105 14 140     
sqr=4.615e+04  alp=0.0007379  con= 0 / 0  105 14 140     
sqr=4.55e+04  alp=0.0005903  con= 0 / 0  105 14 140     
sqr=4.499e+04  alp=0.0004722  con= 0 / 0  105 14 140     
sqr=4.455e+04  alp=0.0003778  con= 0 / 0  105 14 140     
sqr=4.421e+04  alp=0.0003022  con= 0 / 0  105 14 140     
sqr=4.394e+04  alp=0.0002418  con= 0 / 0  105 14 140     
sqr=4.373e+04  alp=0.0001934  con= 0 / 0  105 14 140     
sqr=4.356e+04  alp=0.0001547  con= 0 / 0  105 14 140     
sqr=4.342e+04  alp=0.0001238  con= 0 / 0  105 14 140     
sqr=4.33e+04  alp=9.904e-05  con= 0 / 0  105 14 140     
sqr=4.319e+04  alp=7.923e-05  con= 0 / 0  105 14 140     
sqr=4.311e+04  alp=6.338e-05  con= 0 / 0  105 14 140     
sqr=4.304e+04  alp=5.071e-05  con= 0 / 0  105 14 140     
sqr=4.298e+04  alp=4.056e-05  con= 0 / 0  105 14 140     
sqr=4.293e+04  alp=3.245e-05  con= 0 / 0  105 14 140     
sqr=4.289e+04  alp=2.596e-05  con= 0 / 0  105 14 140     
sqr=4.286e+04  alp=2.077e-05  con= 0 / 0  105 14 140     
sqr=4.283e+04  alp=1.662e-05  con= 0 / 0  105 14 140     
sqr=4.281e+04  alp=1.329e-05  con= 0 / 0  105 14 140     
sqr=4.28e+04  alp=1.063e-05  con= 0 / 0  105 14 140     
sqr=4.278e+04  alp=8.507e-06  con= 0 / 0  105 14 140     
sqr=4.277e+04  alp=6.806e-06  con= 0 / 0  105 14 140     
sqr=4.277e+04  alp=5.445e-06  con= 0 / 0  105 14 140     
sqr=4.276e+04  alp=4.356e-06  con= 0 / 0  105 14 140     
sqr=4.275e+04  alp=3.484e-06  con= 0 / 0  105 14 140     
sqr=4.275e+04  alp=2.788e-06  con= 0 / 0  105 14 140     
sqr=4.275e+04  alp=2.23e-06  con= 0 / 0  105 14 140     
sqr=4.275e+04  alp=1.784e-06  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.427e-06  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.142e-06  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=9.134e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=7.308e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=5.846e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=4.677e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=3.741e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.993e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.395e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.916e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.532e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.226e-07  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=9.808e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=7.846e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=6.277e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=5.022e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=4.017e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=3.214e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.571e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.057e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.646e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.316e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.053e-08  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=8.425e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=6.74e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=5.392e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=4.314e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=3.451e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.761e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=2.209e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.767e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.413e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=1.131e-09  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=9.046e-10  con= 0 / 0  105 14 140     
sqr=4.274e+04  alp=7.237e-10  con= 0 / 0  105 14 140     
