Original matrix:

Reduced matrix:

dimension: 2
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
1 have radius non-zero
   0 of these are fixed
   1 of these are free

sqr= 1.7e-06  bst= 1.7e-06  num= 1  per=1  inf= 1 1 2     
sqr= 7.27e-27  bst= 7.27e-27  num= 2  per=100000000  inf= 1 1 2     
sqr= 2.019e-28  bst= 2.019e-28  num= 3  per=100000000  inf= 1 1 2     
sqr= 2.326  bst= 2.019e-28  num= 4  per=100000000  inf= 1 1 2     
sqr= 0.0009327  bst= 2.019e-28  num= 5  per=100000000  inf= 1 1 2     
sqr= 3.958e-24  bst= 2.019e-28  num= 6  per=100000000  inf= 1 1 2     
sqr= 2.019e-28  bst= 2.019e-28  num= 7  per=100000000  inf= 1 1 2     
sqr= 2.908e-26  bst= 2.019e-28  num= 8  per=100000000  inf= 1 1 2     
sqr= 5.049e-27  bst= 2.019e-28  num= 9  per=100000000  inf= 1 1 2     
sqr= 3.072e-13  bst= 2.019e-28  num= 10  per=100000000  inf= 1 1 2     
sqr= 1.818e-27  bst= 2.019e-28  num= 11  per=100000000  inf= 1 1 2     
sqr= 4.036  bst= 2.019e-28  num= 12  per=100000000  inf= 1 1 2     
sqr= 1.456e-22  bst= 2.019e-28  num= 13  per=100000000  inf= 1 1 2     
sqr= 1.032  bst= 2.019e-28  num= 14  per=100000000  inf= 1 1 2     
sqr= 8.8e-06  bst= 2.019e-28  num= 15  per=100000000  inf= 1 1 2     
sqr= 4.888e-23  bst= 2.019e-28  num= 16  per=100000000  inf= 1 1 2     
sqr= 3.541  bst= 2.019e-28  num= 17  per=100000000  inf= 1 1 2     
sqr= 49.2  bst= 2.019e-28  num= 18  per=100000000  inf= 1 1 2     
sqr= 2.488e-24  bst= 2.019e-28  num= 19  per=100000000  inf= 1 1 2     
sqr= 0.002197  bst= 2.019e-28  num= 20  per=100000000  inf= 1 1 2     
sqr= 1.823e-24  bst= 2.019e-28  num= 21  per=100000000  inf= 1 1 2     
sqr= 8.789  bst= 2.019e-28  num= 22  per=100000000  inf= 1 1 2     
sqr= 0.01427  bst= 2.019e-28  num= 23  per=100000000  inf= 1 1 2     
sqr= 0.0008084  bst= 2.019e-28  num= 24  per=100000000  inf= 1 1 2     
sqr= 0  bst= 0  num= 25  per=100000000  inf= 1 1 2     
sqr= 0.0003007  bst= 0  num= 26  per=100000000  inf= 1 1 2     
sqr= 3.681e-24  bst= 0  num= 27  per=100000000  inf= 1 1 2     
