Original matrix:

Reduced matrix:

dimension: 3
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
1 have radius non-zero
   0 of these are fixed
   1 of these are free

sqr= 0.1914  bst= 0.1914  num= 1  per=1  inf= 1 1 3     
sqr= 18.38  bst= 18.38  num= 2  per=100000000  inf= 1 1 3     
sqr= 1.698e-25  bst= 1.698e-25  num= 3  per=100000000  inf= 1 1 3     
sqr= 0.002224  bst= 1.698e-25  num= 4  per=100000000  inf= 1 1 3     
sqr= 5.049e-25  bst= 1.698e-25  num= 5  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 6  per=100000000  inf= 1 1 3     
sqr= 32.22  bst= 2.019e-28  num= 7  per=100000000  inf= 1 1 3     
sqr= 3.231e-27  bst= 2.019e-28  num= 8  per=100000000  inf= 1 1 3     
sqr= 4.089e-25  bst= 2.019e-28  num= 9  per=100000000  inf= 1 1 3     
sqr= 2.765e-25  bst= 2.019e-28  num= 10  per=100000000  inf= 1 1 3     
sqr= 1.106e-22  bst= 2.019e-28  num= 11  per=100000000  inf= 1 1 3     
sqr= 3.072e-25  bst= 2.019e-28  num= 12  per=100000000  inf= 1 1 3     
sqr= 2.924e-21  bst= 2.019e-28  num= 13  per=100000000  inf= 1 1 3     
sqr= 31.99  bst= 2.019e-28  num= 14  per=100000000  inf= 1 1 3     
sqr= 2.046e-21  bst= 2.019e-28  num= 15  per=100000000  inf= 1 1 3     
sqr= 1.068e-25  bst= 2.019e-28  num= 16  per=100000000  inf= 1 1 3     
sqr= 9.774e-26  bst= 2.019e-28  num= 17  per=100000000  inf= 1 1 3     
sqr= 1.583e-25  bst= 2.019e-28  num= 18  per=100000000  inf= 1 1 3     
sqr= 18.77  bst= 2.019e-28  num= 19  per=100000000  inf= 1 1 3     
sqr= 0.03628  bst= 2.019e-28  num= 20  per=100000000  inf= 1 1 3     
sqr= 169.7  bst= 2.019e-28  num= 21  per=100000000  inf= 1 1 3     
sqr= 0.0001803  bst= 2.019e-28  num= 22  per=100000000  inf= 1 1 3     
sqr= 6.121e-22  bst= 2.019e-28  num= 23  per=100000000  inf= 1 1 3     
sqr= 5.828e-21  bst= 2.019e-28  num= 24  per=100000000  inf= 1 1 3     
sqr= 5.049e-27  bst= 2.019e-28  num= 25  per=100000000  inf= 1 1 3     
sqr= 0.1482  bst= 2.019e-28  num= 26  per=100000000  inf= 1 1 3     
sqr= 91.02  bst= 2.019e-28  num= 27  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 28  per=100000000  inf= 1 1 3     
sqr= 3.8e-21  bst= 2.019e-28  num= 29  per=100000000  inf= 1 1 3     
sqr= 123.9  bst= 2.019e-28  num= 30  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 31  per=100000000  inf= 1 1 3     
sqr= 7.29e-26  bst= 2.019e-28  num= 32  per=100000000  inf= 1 1 3     
sqr= 1.429e-23  bst= 2.019e-28  num= 33  per=100000000  inf= 1 1 3     
sqr= 2.199e-25  bst= 2.019e-28  num= 34  per=100000000  inf= 1 1 3     
sqr= 0.2373  bst= 2.019e-28  num= 35  per=100000000  inf= 1 1 3     
sqr= 2.474e-23  bst= 2.019e-28  num= 36  per=100000000  inf= 1 1 3     
sqr= 77.03  bst= 2.019e-28  num= 37  per=100000000  inf= 1 1 3     
sqr= 3.697e-06  bst= 2.019e-28  num= 38  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 39  per=100000000  inf= 1 1 3     
sqr= 1.583e-25  bst= 2.019e-28  num= 40  per=100000000  inf= 1 1 3     
sqr= 3.91e-25  bst= 2.019e-28  num= 41  per=100000000  inf= 1 1 3     
sqr= 132.2  bst= 2.019e-28  num= 42  per=100000000  inf= 1 1 3     
sqr= 3.231e-25  bst= 2.019e-28  num= 43  per=100000000  inf= 1 1 3     
sqr= 3.256e-07  bst= 2.019e-28  num= 44  per=100000000  inf= 1 1 3     
sqr= 0.003465  bst= 2.019e-28  num= 45  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 46  per=100000000  inf= 1 1 3     
sqr= 0.6602  bst= 2.019e-28  num= 47  per=100000000  inf= 1 1 3     
sqr= 466.2  bst= 2.019e-28  num= 48  per=100000000  inf= 1 1 3     
sqr= 1021  bst= 2.019e-28  num= 49  per=100000000  inf= 1 1 3     
sqr= 2.019e-28  bst= 2.019e-28  num= 50  per=100000000  inf= 1 1 3     
sqr= 2.444e-26  bst= 2.019e-28  num= 51  per=100000000  inf= 1 1 3     
sqr= 0.3381  bst= 2.019e-28  num= 52  per=100000000  inf= 1 1 3     
sqr= 2.474e-25  bst= 2.019e-28  num= 53  per=100000000  inf= 1 1 3     
sqr= 0.2348  bst= 2.019e-28  num= 54  per=100000000  inf= 1 1 3     
sqr= 467.5  bst= 2.019e-28  num= 55  per=100000000  inf= 1 1 3     
sqr= 2.101e-24  bst= 2.019e-28  num= 56  per=100000000  inf= 1 1 3     
sqr= 32.31  bst= 2.019e-28  num= 57  per=100000000  inf= 1 1 3     
sqr= 1.64e-23  bst= 2.019e-28  num= 58  per=100000000  inf= 1 1 3     
sqr= 1.292e-26  bst= 2.019e-28  num= 59  per=100000000  inf= 1 1 3     
sqr= 7.27e-27  bst= 2.019e-28  num= 60  per=100000000  inf= 1 1 3     
sqr= 305.5  bst= 2.019e-28  num= 61  per=100000000  inf= 1 1 3     
sqr= 5.836e-26  bst= 2.019e-28  num= 62  per=100000000  inf= 1 1 3     
sqr= 4.971e-22  bst= 2.019e-28  num= 63  per=100000000  inf= 1 1 3     
