Original matrix:
 1 -1  0  1  0  0  0  0  0  0
 1  0 -1  0  1  0  0  0  0  0
 1  0  0  0  0 -1  1  0  0  0
 0  1 -1  0  0  0  0  1  0  0
 0  1  0  0  0 -1  0  0  1  0
 0  0  1  0  0 -1  0  0  0  1
 0  0  0  1 -1  0  0  1  0  0
 0  0  0  1  0  0 -1  0  1  0
 0  0  0  0  1  0 -1  0  0  1
 0  0  0  0  0  0  0  1 -1  1
Reduced matrix:
 1  0  0  0  0 -1  1  0  0  0
 0  1  0  0  0 -1  0  0  1  0
 0  0  1  0  0 -1  0  0  0  1
 0  0  0  1  0  0 -1  0  1  0
 0  0  0  0  1  0 -1  0  0  1
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  1 -1  1
 0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0  0
dimension: 3
max non-zeros: 3
min non-zeros: 1
avg non-zeros: 1
we have 10 chains
6 are fixed
4 are free
2 have radius zero
   2 of these are fixed
   0 of these are free
8 have radius non-zero
   4 of these are fixed
   4 of these are free

sqr= 1.416e-21  bst= 1.416e-21  num= 1  per=1  inf= 10 4 12     
sqr= 1434  bst= 1434  num= 2  per=100000000  inf= 10 4 12     
sqr= 3.164e+04  bst= 1434  num= 3  per=100000000  inf= 10 4 12     
sqr= 3.36e-21  bst= 3.36e-21  num= 4  per=100000000  inf= 10 4 12     
sqr= 6.027e-22  bst= 6.027e-22  num= 5  per=100000000  inf= 10 4 12     
sqr= 1.135e-22  bst= 1.135e-22  num= 6  per=100000000  inf= 10 4 12     
sqr= 2.27e-22  bst= 1.135e-22  num= 7  per=100000000  inf= 10 4 12     
sqr= 7.484e-22  bst= 1.135e-22  num= 8  per=100000000  inf= 10 4 12     
sqr= 8102  bst= 1.135e-22  num= 9  per=100000000  inf= 10 4 12     
sqr= 5.033e-22  bst= 1.135e-22  num= 10  per=100000000  inf= 10 4 12     
sqr= 8.834e-22  bst= 1.135e-22  num= 11  per=100000000  inf= 10 4 12     
sqr= 1.63e-22  bst= 1.135e-22  num= 12  per=100000000  inf= 10 4 12     
sqr= 8797  bst= 1.135e-22  num= 13  per=100000000  inf= 10 4 12     
sqr= 1.592e+04  bst= 1.135e-22  num= 14  per=100000000  inf= 10 4 12     
sqr= 2.459e-21  bst= 1.135e-22  num= 15  per=100000000  inf= 10 4 12     
sqr= 4.13e-21  bst= 1.135e-22  num= 16  per=100000000  inf= 10 4 12     
sqr= 1.278e-21  bst= 1.135e-22  num= 17  per=100000000  inf= 10 4 12     
sqr= 1.285e+04  bst= 1.135e-22  num= 18  per=100000000  inf= 10 4 12     
sqr= 2.879e-22  bst= 1.135e-22  num= 19  per=100000000  inf= 10 4 12     
sqr= 3.596e-22  bst= 1.135e-22  num= 20  per=100000000  inf= 10 4 12     
sqr= 3858  bst= 1.135e-22  num= 21  per=100000000  inf= 10 4 12     
sqr= 3.966e-22  bst= 1.135e-22  num= 22  per=100000000  inf= 10 4 12     
sqr= 2.104e-22  bst= 1.135e-22  num= 23  per=100000000  inf= 10 4 12     
sqr= 7.704e-22  bst= 1.135e-22  num= 24  per=100000000  inf= 10 4 12     
sqr= 3.006e+04  bst= 1.135e-22  num= 25  per=100000000  inf= 10 4 12     
sqr= 2.795e-21  bst= 1.135e-22  num= 26  per=100000000  inf= 10 4 12     
sqr= 6.423e-22  bst= 1.135e-22  num= 27  per=100000000  inf= 10 4 12     
sqr= 2.614e+04  bst= 1.135e-22  num= 28  per=100000000  inf= 10 4 12     
sqr= 2.657e-21  bst= 1.135e-22  num= 29  per=100000000  inf= 10 4 12     
sqr= 1.292e+04  bst= 1.135e-22  num= 30  per=100000000  inf= 10 4 12     
sqr= 1.389e-21  bst= 1.135e-22  num= 31  per=100000000  inf= 10 4 12     
sqr= 7.087e-21  bst= 1.135e-22  num= 32  per=100000000  inf= 10 4 12     
sqr= 1.807e+04  bst= 1.135e-22  num= 33  per=100000000  inf= 10 4 12     
sqr= 9.338e-22  bst= 1.135e-22  num= 34  per=100000000  inf= 10 4 12     
sqr= 1.434e-21  bst= 1.135e-22  num= 35  per=100000000  inf= 10 4 12     
sqr= 1.408e-21  bst= 1.135e-22  num= 36  per=100000000  inf= 10 4 12     
sqr= 2.527e-21  bst= 1.135e-22  num= 37  per=100000000  inf= 10 4 12     
sqr= 2.657e-22  bst= 1.135e-22  num= 38  per=100000000  inf= 10 4 12     
sqr= 1.883e-21  bst= 1.135e-22  num= 39  per=100000000  inf= 10 4 12     
sqr= 5.716e-22  bst= 1.135e-22  num= 40  per=100000000  inf= 10 4 12     
sqr= 3.098e-21  bst= 1.135e-22  num= 41  per=100000000  inf= 10 4 12     
sqr= 6676  bst= 1.135e-22  num= 42  per=100000000  inf= 10 4 12     
sqr= 2.845e-22  bst= 1.135e-22  num= 43  per=100000000  inf= 10 4 12     
sqr= 6.534e-21  bst= 1.135e-22  num= 44  per=100000000  inf= 10 4 12     
sqr= 2.574e-21  bst= 1.135e-22  num= 45  per=100000000  inf= 10 4 12     
sqr= 2.363e-21  bst= 1.135e-22  num= 46  per=100000000  inf= 10 4 12     
sqr= 2.318e+04  bst= 1.135e-22  num= 47  per=100000000  inf= 10 4 12     
sqr= 3.071e-21  bst= 1.135e-22  num= 48  per=100000000  inf= 10 4 12     
sqr= 7.338e-21  bst= 1.135e-22  num= 49  per=100000000  inf= 10 4 12     
sqr= 2.107e-21  bst= 1.135e-22  num= 50  per=100000000  inf= 10 4 12     
sqr= 1.926e-22  bst= 1.135e-22  num= 51  per=100000000  inf= 10 4 12     
sqr= 5.911e-23  bst= 5.911e-23  num= 52  per=100000000  inf= 10 4 12     
sqr= 2.406e-22  bst= 5.911e-23  num= 53  per=100000000  inf= 10 4 12     
sqr= 5.42e-23  bst= 5.42e-23  num= 54  per=100000000  inf= 10 4 12     
sqr= 3.004e-21  bst= 5.42e-23  num= 55  per=100000000  inf= 10 4 12     
sqr= 4.084e-21  bst= 5.42e-23  num= 56  per=100000000  inf= 10 4 12     
sqr= 1.984e+04  bst= 5.42e-23  num= 57  per=100000000  inf= 10 4 12     
sqr= 9537  bst= 5.42e-23  num= 58  per=100000000  inf= 10 4 12     
sqr= 2.168e-22  bst= 5.42e-23  num= 59  per=100000000  inf= 10 4 12     
sqr= 3.38e+04  bst= 5.42e-23  num= 60  per=100000000  inf= 10 4 12     
sqr= 1.095e-21  bst= 5.42e-23  num= 61  per=100000000  inf= 10 4 12     
sqr= 1.382e+04  bst= 5.42e-23  num= 62  per=100000000  inf= 10 4 12     
sqr= 1.104e-22  bst= 5.42e-23  num= 63  per=100000000  inf= 10 4 12     
sqr= 4.316e-21  bst= 5.42e-23  num= 64  per=100000000  inf= 10 4 12     
sqr= 1.548e+04  bst= 5.42e-23  num= 65  per=100000000  inf= 10 4 12     
sqr= 2.229e-21  bst= 5.42e-23  num= 66  per=100000000  inf= 10 4 12     
sqr= 6.14e-22  bst= 5.42e-23  num= 67  per=100000000  inf= 10 4 12     
sqr= 1.788e-21  bst= 5.42e-23  num= 68  per=100000000  inf= 10 4 12     
sqr= 1.3e+04  bst= 5.42e-23  num= 69  per=100000000  inf= 10 4 12     
sqr= 2.376e+04  bst= 5.42e-23  num= 70  per=100000000  inf= 10 4 12     
sqr= 1.316e-22  bst= 5.42e-23  num= 71  per=100000000  inf= 10 4 12     
sqr= 2.232e+04  bst= 5.42e-23  num= 72  per=100000000  inf= 10 4 12     
sqr= 1.598e+04  bst= 5.42e-23  num= 73  per=100000000  inf= 10 4 12     
sqr= 1.583e-21  bst= 5.42e-23  num= 74  per=100000000  inf= 10 4 12     
sqr= 1.553e+04  bst= 5.42e-23  num= 75  per=100000000  inf= 10 4 12     
sqr= 2.162e+04  bst= 5.42e-23  num= 76  per=100000000  inf= 10 4 12     
sqr= 1.008e+04  bst= 5.42e-23  num= 77  per=100000000  inf= 10 4 12     
sqr= 9737  bst= 5.42e-23  num= 78  per=100000000  inf= 10 4 12     
sqr= 4.016e-22  bst= 5.42e-23  num= 79  per=100000000  inf= 10 4 12     
sqr= 7.52e-23  bst= 5.42e-23  num= 80  per=100000000  inf= 10 4 12     
sqr= 8.566e-22  bst= 5.42e-23  num= 81  per=100000000  inf= 10 4 12     
sqr= 1.986e-21  bst= 5.42e-23  num= 82  per=100000000  inf= 10 4 12     
sqr= 4268  bst= 5.42e-23  num= 83  per=100000000  inf= 10 4 12     
sqr= 1.522e+04  bst= 5.42e-23  num= 84  per=100000000  inf= 10 4 12     
sqr= 1.997e+04  bst= 5.42e-23  num= 85  per=100000000  inf= 10 4 12     
sqr= 1.628e-21  bst= 5.42e-23  num= 86  per=100000000  inf= 10 4 12     
sqr= 1.083e-21  bst= 5.42e-23  num= 87  per=100000000  inf= 10 4 12     
sqr= 3118  bst= 5.42e-23  num= 88  per=100000000  inf= 10 4 12     
sqr= 1.1e-21  bst= 5.42e-23  num= 89  per=100000000  inf= 10 4 12     
sqr= 1.356e-21  bst= 5.42e-23  num= 90  per=100000000  inf= 10 4 12     
sqr= 9.488e-24  bst= 9.488e-24  num= 91  per=100000000  inf= 10 4 12     
sqr= 1.897e+04  bst= 9.488e-24  num= 92  per=100000000  inf= 10 4 12     
sqr= 1.273e-21  bst= 9.488e-24  num= 93  per=100000000  inf= 10 4 12     
sqr= 2.436e-21  bst= 9.488e-24  num= 94  per=100000000  inf= 10 4 12     
sqr= 1.847e+04  bst= 9.488e-24  num= 95  per=100000000  inf= 10 4 12     
sqr= 4.186e-23  bst= 9.488e-24  num= 96  per=100000000  inf= 10 4 12     
sqr= 6.43e-22  bst= 9.488e-24  num= 97  per=100000000  inf= 10 4 12     
sqr= 1.412e-22  bst= 9.488e-24  num= 98  per=100000000  inf= 10 4 12     
sqr= 4.337e-22  bst= 9.488e-24  num= 99  per=100000000  inf= 10 4 12     
sqr= 2.142e+04  bst= 9.488e-24  num= 100  per=100000000  inf= 10 4 12     
sqr= 1.619e-21  bst= 9.488e-24  num= 101  per=100000000  inf= 10 4 12     
sqr= 7548  bst= 9.488e-24  num= 102  per=100000000  inf= 10 4 12     
sqr= 4527  bst= 9.488e-24  num= 103  per=100000000  inf= 10 4 12     
sqr= 7.851e-22  bst= 9.488e-24  num= 104  per=100000000  inf= 10 4 12     
sqr= 1.277e-21  bst= 9.488e-24  num= 105  per=100000000  inf= 10 4 12     
sqr= 3.328e-21  bst= 9.488e-24  num= 106  per=100000000  inf= 10 4 12     
sqr= 2.12e-21  bst= 9.488e-24  num= 107  per=100000000  inf= 10 4 12     
sqr= 2.738e-21  bst= 9.488e-24  num= 108  per=100000000  inf= 10 4 12     
sqr= 9.829e-22  bst= 9.488e-24  num= 109  per=100000000  inf= 10 4 12     
sqr= 1.062e-21  bst= 9.488e-24  num= 110  per=100000000  inf= 10 4 12     
sqr= 1.079e+04  bst= 9.488e-24  num= 111  per=100000000  inf= 10 4 12     
sqr= 4.789e-21  bst= 9.488e-24  num= 112  per=100000000  inf= 10 4 12     
sqr= 2.62e-22  bst= 9.488e-24  num= 113  per=100000000  inf= 10 4 12     
sqr= 3.445e-21  bst= 9.488e-24  num= 114  per=100000000  inf= 10 4 12     
sqr= 1.996e-21  bst= 9.488e-24  num= 115  per=100000000  inf= 10 4 12     
sqr= 1.639e+04  bst= 9.488e-24  num= 116  per=100000000  inf= 10 4 12     
sqr= 1.657e+04  bst= 9.488e-24  num= 117  per=100000000  inf= 10 4 12     
sqr= 2.439e+04  bst= 9.488e-24  num= 118  per=100000000  inf= 10 4 12     
sqr= 1.364e+04  bst= 9.488e-24  num= 119  per=100000000  inf= 10 4 12     
sqr= 2.746e-21  bst= 9.488e-24  num= 120  per=100000000  inf= 10 4 12     
sqr= 1.118e-21  bst= 9.488e-24  num= 121  per=100000000  inf= 10 4 12     
sqr= 9.405e-22  bst= 9.488e-24  num= 122  per=100000000  inf= 10 4 12     
sqr= 6.362e-22  bst= 9.488e-24  num= 123  per=100000000  inf= 10 4 12     
sqr= 7.388e-23  bst= 9.488e-24  num= 124  per=100000000  inf= 10 4 12     
sqr= 2.397e+04  bst= 9.488e-24  num= 125  per=100000000  inf= 10 4 12     
sqr= 3.687e-21  bst= 9.488e-24  num= 126  per=100000000  inf= 10 4 12     
sqr= 2.093e-22  bst= 9.488e-24  num= 127  per=100000000  inf= 10 4 12     
sqr= 2.05e+04  bst= 9.488e-24  num= 128  per=100000000  inf= 10 4 12     
sqr= 2.093e-21  bst= 9.488e-24  num= 129  per=100000000  inf= 10 4 12     
sqr= 2.54e+04  bst= 9.488e-24  num= 130  per=100000000  inf= 10 4 12     
sqr= 1.428e+04  bst= 9.488e-24  num= 131  per=100000000  inf= 10 4 12     
sqr= 3.436e-22  bst= 9.488e-24  num= 132  per=100000000  inf= 10 4 12     
sqr= 5001  bst= 9.488e-24  num= 133  per=100000000  inf= 10 4 12     
sqr= 9683  bst= 9.488e-24  num= 134  per=100000000  inf= 10 4 12     
sqr= 1.561e+04  bst= 9.488e-24  num= 135  per=100000000  inf= 10 4 12     
sqr= 7.787e-22  bst= 9.488e-24  num= 136  per=100000000  inf= 10 4 12     
sqr= 3.612e-22  bst= 9.488e-24  num= 137  per=100000000  inf= 10 4 12     
sqr= 8943  bst= 9.488e-24  num= 138  per=100000000  inf= 10 4 12     
sqr= 5.342e-23  bst= 9.488e-24  num= 139  per=100000000  inf= 10 4 12     
sqr= 8536  bst= 9.488e-24  num= 140  per=100000000  inf= 10 4 12     
sqr= 1.36e+04  bst= 9.488e-24  num= 141  per=100000000  inf= 10 4 12     
sqr= 2.066e-21  bst= 9.488e-24  num= 142  per=100000000  inf= 10 4 12     
sqr= 1.368e-21  bst= 9.488e-24  num= 143  per=100000000  inf= 10 4 12     
sqr= 3.237e-22  bst= 9.488e-24  num= 144  per=100000000  inf= 10 4 12     
sqr= 1.088e+04  bst= 9.488e-24  num= 145  per=100000000  inf= 10 4 12     
sqr= 1.789e+04  bst= 9.488e-24  num= 146  per=100000000  inf= 10 4 12     
sqr= 3.471e+04  bst= 9.488e-24  num= 147  per=100000000  inf= 10 4 12     
sqr= 6.51e-23  bst= 9.488e-24  num= 148  per=100000000  inf= 10 4 12     
sqr= 4.097e-21  bst= 9.488e-24  num= 149  per=100000000  inf= 10 4 12     
sqr= 4738  bst= 9.488e-24  num= 150  per=100000000  inf= 10 4 12     
sqr= 1.42e-22  bst= 9.488e-24  num= 151  per=100000000  inf= 10 4 12     
sqr= 2.16e-21  bst= 9.488e-24  num= 152  per=100000000  inf= 10 4 12     
sqr= 1.057e+04  bst= 9.488e-24  num= 153  per=100000000  inf= 10 4 12     
sqr= 1.132e+04  bst= 9.488e-24  num= 154  per=100000000  inf= 10 4 12     
sqr= 1.314e+04  bst= 9.488e-24  num= 155  per=100000000  inf= 10 4 12     
sqr= 3.456e-22  bst= 9.488e-24  num= 156  per=100000000  inf= 10 4 12     
sqr= 1.394e-21  bst= 9.488e-24  num= 157  per=100000000  inf= 10 4 12     
sqr= 6.5e-22  bst= 9.488e-24  num= 158  per=100000000  inf= 10 4 12     
sqr= 4.601e-21  bst= 9.488e-24  num= 159  per=100000000  inf= 10 4 12     
sqr= 1.857e+04  bst= 9.488e-24  num= 160  per=100000000  inf= 10 4 12     
sqr= 1.4e-21  bst= 9.488e-24  num= 161  per=100000000  inf= 10 4 12     
sqr= 8405  bst= 9.488e-24  num= 162  per=100000000  inf= 10 4 12     
sqr= 6720  bst= 9.488e-24  num= 163  per=100000000  inf= 10 4 12     
sqr= 1.72e+04  bst= 9.488e-24  num= 164  per=100000000  inf= 10 4 12     
sqr= 1.758e-22  bst= 9.488e-24  num= 165  per=100000000  inf= 10 4 12     
sqr= 3.275e+04  bst= 9.488e-24  num= 166  per=100000000  inf= 10 4 12     
sqr= 6272  bst= 9.488e-24  num= 167  per=100000000  inf= 10 4 12     
sqr= 2.291e-22  bst= 9.488e-24  num= 168  per=100000000  inf= 10 4 12     
sqr= 1.529e+04  bst= 9.488e-24  num= 169  per=100000000  inf= 10 4 12     
sqr= 6.903e-23  bst= 9.488e-24  num= 170  per=100000000  inf= 10 4 12     
sqr= 3.28e-21  bst= 9.488e-24  num= 171  per=100000000  inf= 10 4 12     
sqr= 1.151e-21  bst= 9.488e-24  num= 172  per=100000000  inf= 10 4 12     
sqr= 1.053e-21  bst= 9.488e-24  num= 173  per=100000000  inf= 10 4 12     
sqr= 3.886e-21  bst= 9.488e-24  num= 174  per=100000000  inf= 10 4 12     
sqr= 1.486e-21  bst= 9.488e-24  num= 175  per=100000000  inf= 10 4 12     
sqr= 5238  bst= 9.488e-24  num= 176  per=100000000  inf= 10 4 12     
sqr= 8.773e-24  bst= 8.773e-24  num= 177  per=100000000  inf= 10 4 12     
sqr= 3348  bst= 8.773e-24  num= 178  per=100000000  inf= 10 4 12     
sqr= 7.846e-22  bst= 8.773e-24  num= 179  per=100000000  inf= 10 4 12     
sqr= 1.111e-21  bst= 8.773e-24  num= 180  per=100000000  inf= 10 4 12     
sqr= 7692  bst= 8.773e-24  num= 181  per=100000000  inf= 10 4 12     
sqr= 1.613e-21  bst= 8.773e-24  num= 182  per=100000000  inf= 10 4 12     
sqr= 1.589e-21  bst= 8.773e-24  num= 183  per=100000000  inf= 10 4 12     
sqr= 2.019e-21  bst= 8.773e-24  num= 184  per=100000000  inf= 10 4 12     
sqr= 1.722e-21  bst= 8.773e-24  num= 185  per=100000000  inf= 10 4 12     
sqr= 1.615e-21  bst= 8.773e-24  num= 186  per=100000000  inf= 10 4 12     
sqr= 4612  bst= 8.773e-24  num= 187  per=100000000  inf= 10 4 12     
sqr= 1.07e-21  bst= 8.773e-24  num= 188  per=100000000  inf= 10 4 12     
sqr= 1.263e-21  bst= 8.773e-24  num= 189  per=100000000  inf= 10 4 12     
sqr= 5.297e-22  bst= 8.773e-24  num= 190  per=100000000  inf= 10 4 12     
sqr= 1.679e-21  bst= 8.773e-24  num= 191  per=100000000  inf= 10 4 12     
sqr= 1.575e-22  bst= 8.773e-24  num= 192  per=100000000  inf= 10 4 12     
sqr= 1.218e-21  bst= 8.773e-24  num= 193  per=100000000  inf= 10 4 12     
sqr= 5.073e-23  bst= 8.773e-24  num= 194  per=100000000  inf= 10 4 12     
sqr= 1.754e-21  bst= 8.773e-24  num= 195  per=100000000  inf= 10 4 12     
sqr= 1.608e-21  bst= 8.773e-24  num= 196  per=100000000  inf= 10 4 12     
sqr= 1.185e+04  bst= 8.773e-24  num= 197  per=100000000  inf= 10 4 12     
sqr= 2.444e+04  bst= 8.773e-24  num= 198  per=100000000  inf= 10 4 12     
sqr= 1.806e-21  bst= 8.773e-24  num= 199  per=100000000  inf= 10 4 12     
sqr= 7.199e-22  bst= 8.773e-24  num= 200  per=100000000  inf= 10 4 12     
sqr= 1.621e+04  bst= 8.773e-24  num= 201  per=100000000  inf= 10 4 12     
sqr= 5.059e-21  bst= 8.773e-24  num= 202  per=100000000  inf= 10 4 12     
sqr= 2.954e-21  bst= 8.773e-24  num= 203  per=100000000  inf= 10 4 12     
sqr= 7.675e-21  bst= 8.773e-24  num= 204  per=100000000  inf= 10 4 12     
sqr= 1.429e+04  bst= 8.773e-24  num= 205  per=100000000  inf= 10 4 12     
sqr= 2.156e-21  bst= 8.773e-24  num= 206  per=100000000  inf= 10 4 12     
sqr= 1.701e+04  bst= 8.773e-24  num= 207  per=100000000  inf= 10 4 12     
sqr= 1.198e-22  bst= 8.773e-24  num= 208  per=100000000  inf= 10 4 12     
sqr= 1.927e+04  bst= 8.773e-24  num= 209  per=100000000  inf= 10 4 12     
sqr= 2.437e-23  bst= 8.773e-24  num= 210  per=100000000  inf= 10 4 12     
