Original matrix:

Reduced matrix:

dimension: 4
max non-zeros: 0
min non-zeros: 0
avg non-zeros: 0
we have 1 chains
0 are fixed
1 are free
1 have radius zero
   0 of these are fixed
   1 of these are free
0 have radius non-zero
   0 of these are fixed
   0 of these are free

sqr= 474.6  bst= 474.6  num= 1  per=1  inf= 1 1 4     
sqr= 3.681e-22  bst= 3.681e-22  num= 2  per=100000000  inf= 1 1 4     
sqr= 3.745e-25  bst= 3.745e-25  num= 3  per=100000000  inf= 1 1 4     
sqr= 1.707e-22  bst= 3.745e-25  num= 4  per=100000000  inf= 1 1 4     
sqr= 7.727e-23  bst= 3.745e-25  num= 5  per=100000000  inf= 1 1 4     
sqr= 637.6  bst= 3.745e-25  num= 6  per=100000000  inf= 1 1 4     
sqr= 2.286e-24  bst= 3.745e-25  num= 7  per=100000000  inf= 1 1 4     
sqr= 3.003e-21  bst= 3.745e-25  num= 8  per=100000000  inf= 1 1 4     
sqr= 4.424e-24  bst= 3.745e-25  num= 9  per=100000000  inf= 1 1 4     
sqr= 1.592e-22  bst= 3.745e-25  num= 10  per=100000000  inf= 1 1 4     
sqr= 1.501e-22  bst= 3.745e-25  num= 11  per=100000000  inf= 1 1 4     
sqr= 145.5  bst= 3.745e-25  num= 12  per=100000000  inf= 1 1 4     
sqr= 7.496e-25  bst= 3.745e-25  num= 13  per=100000000  inf= 1 1 4     
sqr= 57.02  bst= 3.745e-25  num= 14  per=100000000  inf= 1 1 4     
sqr= 6.449e-25  bst= 3.745e-25  num= 15  per=100000000  inf= 1 1 4     
sqr= 588  bst= 3.745e-25  num= 16  per=100000000  inf= 1 1 4     
sqr= 4.805e-25  bst= 3.745e-25  num= 17  per=100000000  inf= 1 1 4     
sqr= 2.111e-22  bst= 3.745e-25  num= 18  per=100000000  inf= 1 1 4     
sqr= 97.79  bst= 3.745e-25  num= 19  per=100000000  inf= 1 1 4     
sqr= 1.603e-23  bst= 3.745e-25  num= 20  per=100000000  inf= 1 1 4     
sqr= 0.4181  bst= 3.745e-25  num= 21  per=100000000  inf= 1 1 4     
sqr= 869.7  bst= 3.745e-25  num= 22  per=100000000  inf= 1 1 4     
sqr= 191.6  bst= 3.745e-25  num= 23  per=100000000  inf= 1 1 4     
sqr= 2.608e-23  bst= 3.745e-25  num= 24  per=100000000  inf= 1 1 4     
sqr= 2.276e-23  bst= 3.745e-25  num= 25  per=100000000  inf= 1 1 4     
sqr= 295.4  bst= 3.745e-25  num= 26  per=100000000  inf= 1 1 4     
sqr= 5.946e-23  bst= 3.745e-25  num= 27  per=100000000  inf= 1 1 4     
sqr= 8.583e-28  bst= 8.583e-28  num= 28  per=100000000  inf= 1 1 4     
sqr= 6.628e-20  bst= 8.583e-28  num= 29  per=100000000  inf= 1 1 4     
sqr= 0.2189  bst= 8.583e-28  num= 30  per=100000000  inf= 1 1 4     
sqr= 7.257e-26  bst= 8.583e-28  num= 31  per=100000000  inf= 1 1 4     
sqr= 3.067e-24  bst= 8.583e-28  num= 32  per=100000000  inf= 1 1 4     
sqr= 5.763e-26  bst= 8.583e-28  num= 33  per=100000000  inf= 1 1 4     
sqr= 1.951e-24  bst= 8.583e-28  num= 34  per=100000000  inf= 1 1 4     
sqr= 2076  bst= 8.583e-28  num= 35  per=100000000  inf= 1 1 4     
sqr= 2.259e-23  bst= 8.583e-28  num= 36  per=100000000  inf= 1 1 4     
sqr= 4.494e-21  bst= 8.583e-28  num= 37  per=100000000  inf= 1 1 4     
sqr= 1.375e-24  bst= 8.583e-28  num= 38  per=100000000  inf= 1 1 4     
sqr= 2.671e-23  bst= 8.583e-28  num= 39  per=100000000  inf= 1 1 4     
sqr= 2.485e-22  bst= 8.583e-28  num= 40  per=100000000  inf= 1 1 4     
sqr= 6.609e-23  bst= 8.583e-28  num= 41  per=100000000  inf= 1 1 4     
sqr= 236.1  bst= 8.583e-28  num= 42  per=100000000  inf= 1 1 4     
sqr= 3.339e-22  bst= 8.583e-28  num= 43  per=100000000  inf= 1 1 4     
sqr= 5.968e-24  bst= 8.583e-28  num= 44  per=100000000  inf= 1 1 4     
sqr= 2.35e-23  bst= 8.583e-28  num= 45  per=100000000  inf= 1 1 4     
sqr= 2.8e-25  bst= 8.583e-28  num= 46  per=100000000  inf= 1 1 4     
sqr= 2.825e-28  bst= 2.825e-28  num= 47  per=100000000  inf= 1 1 4     
sqr= 2.255e-23  bst= 2.825e-28  num= 48  per=100000000  inf= 1 1 4     
sqr= 2.037e-23  bst= 2.825e-28  num= 49  per=100000000  inf= 1 1 4     
sqr= 9.995e-22  bst= 2.825e-28  num= 50  per=100000000  inf= 1 1 4     
sqr= 4335  bst= 2.825e-28  num= 51  per=100000000  inf= 1 1 4     
sqr= 4.783e-23  bst= 2.825e-28  num= 52  per=100000000  inf= 1 1 4     
sqr= 1730  bst= 2.825e-28  num= 53  per=100000000  inf= 1 1 4     
sqr= 373.6  bst= 2.825e-28  num= 54  per=100000000  inf= 1 1 4     
sqr= 1069  bst= 2.825e-28  num= 55  per=100000000  inf= 1 1 4     
sqr= 16.32  bst= 2.825e-28  num= 56  per=100000000  inf= 1 1 4     
sqr= 15.38  bst= 2.825e-28  num= 57  per=100000000  inf= 1 1 4     
sqr= 4.778e-24  bst= 2.825e-28  num= 58  per=100000000  inf= 1 1 4     
sqr= 64.39  bst= 2.825e-28  num= 59  per=100000000  inf= 1 1 4     
sqr= 6.206e-22  bst= 2.825e-28  num= 60  per=100000000  inf= 1 1 4     
sqr= 46.21  bst= 2.825e-28  num= 61  per=100000000  inf= 1 1 4     
sqr= 245.9  bst= 2.825e-28  num= 62  per=100000000  inf= 1 1 4     
sqr= 36.55  bst= 2.825e-28  num= 63  per=100000000  inf= 1 1 4     
sqr= 1.591e-23  bst= 2.825e-28  num= 64  per=100000000  inf= 1 1 4     
sqr= 1.197e-24  bst= 2.825e-28  num= 65  per=100000000  inf= 1 1 4     
sqr= 1573  bst= 2.825e-28  num= 66  per=100000000  inf= 1 1 4     
sqr= 3.909e-26  bst= 2.825e-28  num= 67  per=100000000  inf= 1 1 4     
sqr= 325.6  bst= 2.825e-28  num= 68  per=100000000  inf= 1 1 4     
sqr= 205.8  bst= 2.825e-28  num= 69  per=100000000  inf= 1 1 4     
sqr= 723.4  bst= 2.825e-28  num= 70  per=100000000  inf= 1 1 4     
sqr= 5.214  bst= 2.825e-28  num= 71  per=100000000  inf= 1 1 4     
