dimension: 5
max non-zeros: 4
min non-zeros: 1
avg non-zeros: 2
we have 15 chains
10 are fixed
5 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
15 have radius non-zero
   10 of these are fixed
   5 of these are free

sqr= 1.566e-20  bst= 1.566e-20  num= 1  per=1  inf= 15 5 25     
sqr= 7.378e-21  bst= 7.378e-21  num= 2  per=100000000  inf= 15 5 25     
sqr= 7.675e-21  bst= 7.378e-21  num= 3  per=100000000  inf= 15 5 25     
sqr= 2.403e-20  bst= 7.378e-21  num= 4  per=100000000  inf= 15 5 25     
sqr= 1.273e-20  bst= 7.378e-21  num= 5  per=100000000  inf= 15 5 25     
sqr= 1.306e-20  bst= 7.378e-21  num= 6  per=100000000  inf= 15 5 25     
sqr= 9789  bst= 7.378e-21  num= 7  per=100000000  inf= 15 5 25     
sqr= 9.338e-21  bst= 7.378e-21  num= 8  per=100000000  inf= 15 5 25     
sqr= 2.333e-21  bst= 2.333e-21  num= 9  per=100000000  inf= 15 5 25     
sqr= 1.501e-20  bst= 2.333e-21  num= 10  per=100000000  inf= 15 5 25     
sqr= 5.64e-21  bst= 2.333e-21  num= 11  per=100000000  inf= 15 5 25     
sqr= 1.246e-20  bst= 2.333e-21  num= 12  per=100000000  inf= 15 5 25     
sqr= 1.511e+04  bst= 2.333e-21  num= 13  per=100000000  inf= 15 5 25     
sqr= 1.037e+04  bst= 2.333e-21  num= 14  per=100000000  inf= 15 5 25     
sqr= 4.854e-21  bst= 2.333e-21  num= 15  per=100000000  inf= 15 5 25     
sqr= 3.595e-21  bst= 2.333e-21  num= 16  per=100000000  inf= 15 5 25     
sqr= 6.005e-21  bst= 2.333e-21  num= 17  per=100000000  inf= 15 5 25     
sqr= 5.652e-21  bst= 2.333e-21  num= 18  per=100000000  inf= 15 5 25     
sqr= 1.253e-21  bst= 1.253e-21  num= 19  per=100000000  inf= 15 5 25     
sqr= 4628  bst= 1.253e-21  num= 20  per=100000000  inf= 15 5 25     
sqr= 1.669e-20  bst= 1.253e-21  num= 21  per=100000000  inf= 15 5 25     
sqr= 2.146e-20  bst= 1.253e-21  num= 22  per=100000000  inf= 15 5 25     
sqr= 1.845e-21  bst= 1.253e-21  num= 23  per=100000000  inf= 15 5 25     
sqr= 7.161e-21  bst= 1.253e-21  num= 24  per=100000000  inf= 15 5 25     
sqr= 7625  bst= 1.253e-21  num= 25  per=100000000  inf= 15 5 25     
sqr= 3.62e-20  bst= 1.253e-21  num= 26  per=100000000  inf= 15 5 25     
sqr= 1.871e-21  bst= 1.253e-21  num= 27  per=100000000  inf= 15 5 25     
sqr= 1.375e-20  bst= 1.253e-21  num= 28  per=100000000  inf= 15 5 25     
sqr= 1.054e-20  bst= 1.253e-21  num= 29  per=100000000  inf= 15 5 25     
sqr= 6.376e-21  bst= 1.253e-21  num= 30  per=100000000  inf= 15 5 25     
sqr= 3.971e-20  bst= 1.253e-21  num= 31  per=100000000  inf= 15 5 25     
sqr= 1.218e-20  bst= 1.253e-21  num= 32  per=100000000  inf= 15 5 25     
sqr= 8264  bst= 1.253e-21  num= 33  per=100000000  inf= 15 5 25     
sqr= 1.94e+04  bst= 1.253e-21  num= 34  per=100000000  inf= 15 5 25     
sqr= 4.706e-21  bst= 1.253e-21  num= 35  per=100000000  inf= 15 5 25     
sqr= 2489  bst= 1.253e-21  num= 36  per=100000000  inf= 15 5 25     
sqr= 1.215e-20  bst= 1.253e-21  num= 37  per=100000000  inf= 15 5 25     
sqr= 7831  bst= 1.253e-21  num= 38  per=100000000  inf= 15 5 25     
sqr= 2.02e-21  bst= 1.253e-21  num= 39  per=100000000  inf= 15 5 25     
sqr= 2.734e-20  bst= 1.253e-21  num= 40  per=100000000  inf= 15 5 25     
sqr= 1.858e-21  bst= 1.253e-21  num= 41  per=100000000  inf= 15 5 25     
sqr= 6.931e-21  bst= 1.253e-21  num= 42  per=100000000  inf= 15 5 25     
sqr= 7.585e-22  bst= 7.585e-22  num= 43  per=100000000  inf= 15 5 25     
sqr= 2.621e+04  bst= 7.585e-22  num= 44  per=100000000  inf= 15 5 25     
sqr= 8.998e-21  bst= 7.585e-22  num= 45  per=100000000  inf= 15 5 25     
sqr= 9970  bst= 7.585e-22  num= 46  per=100000000  inf= 15 5 25     
sqr= 6.901e-21  bst= 7.585e-22  num= 47  per=100000000  inf= 15 5 25     
sqr= 1.016e-20  bst= 7.585e-22  num= 48  per=100000000  inf= 15 5 25     
sqr= 2.308e-21  bst= 7.585e-22  num= 49  per=100000000  inf= 15 5 25     
sqr= 1.722e-21  bst= 7.585e-22  num= 50  per=100000000  inf= 15 5 25     
sqr= 3.44e-21  bst= 7.585e-22  num= 51  per=100000000  inf= 15 5 25     
sqr= 1.13e+04  bst= 7.585e-22  num= 52  per=100000000  inf= 15 5 25     
sqr= 3.621e-20  bst= 7.585e-22  num= 53  per=100000000  inf= 15 5 25     
sqr= 1.279e-21  bst= 7.585e-22  num= 54  per=100000000  inf= 15 5 25     
sqr= 8883  bst= 7.585e-22  num= 55  per=100000000  inf= 15 5 25     
sqr= 8.73e-21  bst= 7.585e-22  num= 56  per=100000000  inf= 15 5 25     
sqr= 1.592e-20  bst= 7.585e-22  num= 57  per=100000000  inf= 15 5 25     
sqr= 3048  bst= 7.585e-22  num= 58  per=100000000  inf= 15 5 25     
sqr= 6.016e-22  bst= 6.016e-22  num= 59  per=100000000  inf= 15 5 25     
sqr= 7956  bst= 6.016e-22  num= 60  per=100000000  inf= 15 5 25     
sqr= 1.357e-20  bst= 6.016e-22  num= 61  per=100000000  inf= 15 5 25     
sqr= 2.957e-21  bst= 6.016e-22  num= 62  per=100000000  inf= 15 5 25     
sqr= 6.987e-21  bst= 6.016e-22  num= 63  per=100000000  inf= 15 5 25     
sqr= 1.237e-20  bst= 6.016e-22  num= 64  per=100000000  inf= 15 5 25     
sqr= 1.756e-20  bst= 6.016e-22  num= 65  per=100000000  inf= 15 5 25     
sqr= 2.459e+04  bst= 6.016e-22  num= 66  per=100000000  inf= 15 5 25     
sqr= 1.518e-20  bst= 6.016e-22  num= 67  per=100000000  inf= 15 5 25     
sqr= 1.853e-21  bst= 6.016e-22  num= 68  per=100000000  inf= 15 5 25     
sqr= 1.119e-20  bst= 6.016e-22  num= 69  per=100000000  inf= 15 5 25     
sqr= 1.39e-20  bst= 6.016e-22  num= 70  per=100000000  inf= 15 5 25     
sqr= 3.067e-20  bst= 6.016e-22  num= 71  per=100000000  inf= 15 5 25     
sqr= 1.063e-21  bst= 6.016e-22  num= 72  per=100000000  inf= 15 5 25     
sqr= 0.01381  bst= 6.016e-22  num= 73  per=100000000  inf= 15 5 25     
sqr= 5.532e-21  bst= 6.016e-22  num= 74  per=100000000  inf= 15 5 25     
sqr= 1.226e-20  bst= 6.016e-22  num= 75  per=100000000  inf= 15 5 25     
sqr= 1.141e-20  bst= 6.016e-22  num= 76  per=100000000  inf= 15 5 25     
sqr= 3.312e-21  bst= 6.016e-22  num= 77  per=100000000  inf= 15 5 25     
sqr= 2.767e+04  bst= 6.016e-22  num= 78  per=100000000  inf= 15 5 25     
sqr= 4.442e-21  bst= 6.016e-22  num= 79  per=100000000  inf= 15 5 25     
sqr= 6.169e-21  bst= 6.016e-22  num= 80  per=100000000  inf= 15 5 25     
sqr= 1.355e-20  bst= 6.016e-22  num= 81  per=100000000  inf= 15 5 25     
sqr= 2.566e-20  bst= 6.016e-22  num= 82  per=100000000  inf= 15 5 25     
sqr= 1.511e+04  bst= 6.016e-22  num= 83  per=100000000  inf= 15 5 25     
