chain 0 + chain 2 = chain 1
Original matrix:
 1 -1  1
Reduced matrix:
 1 -1  1
dimension: 5
max non-zeros: 1
min non-zeros: 1
avg non-zeros: 1
we have 3 chains
1 are fixed
2 are free
0 have radius zero
   0 of these are fixed
   0 of these are free
3 have radius non-zero
   1 of these are fixed
   2 of these are free

sqr= 4.726e-26  bst= 4.726e-26  num= 1  per=1  inf= 3 2 10     
sqr= 161.9  bst= 161.9  num= 2  per=100000000  inf= 3 2 10     
sqr= 697.5  bst= 161.9  num= 3  per=100000000  inf= 3 2 10     
sqr= 3.173e-22  bst= 3.173e-22  num= 4  per=100000000  inf= 3 2 10     
sqr= 1201  bst= 3.173e-22  num= 5  per=100000000  inf= 3 2 10     
sqr= 139.8  bst= 3.173e-22  num= 6  per=100000000  inf= 3 2 10     
sqr= 743  bst= 3.173e-22  num= 7  per=100000000  inf= 3 2 10     
sqr= 1.824e-22  bst= 1.824e-22  num= 8  per=100000000  inf= 3 2 10     
sqr= 589  bst= 1.824e-22  num= 9  per=100000000  inf= 3 2 10     
sqr= 5.121e-24  bst= 5.121e-24  num= 10  per=100000000  inf= 3 2 10     
sqr= 1.872e-22  bst= 5.121e-24  num= 11  per=100000000  inf= 3 2 10     
sqr= 2.491e-21  bst= 5.121e-24  num= 12  per=100000000  inf= 3 2 10     
sqr= 2.215e-23  bst= 5.121e-24  num= 13  per=100000000  inf= 3 2 10     
sqr= 7.083e-22  bst= 5.121e-24  num= 14  per=100000000  inf= 3 2 10     
sqr= 171.4  bst= 5.121e-24  num= 15  per=100000000  inf= 3 2 10     
sqr= 1.053e-24  bst= 1.053e-24  num= 16  per=100000000  inf= 3 2 10     
sqr= 1.699e-21  bst= 1.053e-24  num= 17  per=100000000  inf= 3 2 10     
sqr= 1.576e-21  bst= 1.053e-24  num= 18  per=100000000  inf= 3 2 10     
sqr= 1716  bst= 1.053e-24  num= 19  per=100000000  inf= 3 2 10     
sqr= 1.85e-23  bst= 1.053e-24  num= 20  per=100000000  inf= 3 2 10     
sqr= 773.4  bst= 1.053e-24  num= 21  per=100000000  inf= 3 2 10     
sqr= 331.6  bst= 1.053e-24  num= 22  per=100000000  inf= 3 2 10     
sqr= 1.269e-23  bst= 1.053e-24  num= 23  per=100000000  inf= 3 2 10     
sqr= 1536  bst= 1.053e-24  num= 24  per=100000000  inf= 3 2 10     
sqr= 1241  bst= 1.053e-24  num= 25  per=100000000  inf= 3 2 10     
sqr= 3050  bst= 1.053e-24  num= 26  per=100000000  inf= 3 2 10     
sqr= 913.6  bst= 1.053e-24  num= 27  per=100000000  inf= 3 2 10     
sqr= 3.202e-21  bst= 1.053e-24  num= 28  per=100000000  inf= 3 2 10     
sqr= 33.95  bst= 1.053e-24  num= 29  per=100000000  inf= 3 2 10     
sqr= 1.104e-23  bst= 1.053e-24  num= 30  per=100000000  inf= 3 2 10     
sqr= 998.3  bst= 1.053e-24  num= 31  per=100000000  inf= 3 2 10     
sqr= 597.4  bst= 1.053e-24  num= 32  per=100000000  inf= 3 2 10     
sqr= 19.94  bst= 1.053e-24  num= 33  per=100000000  inf= 3 2 10     
sqr= 5.466e-24  bst= 1.053e-24  num= 34  per=100000000  inf= 3 2 10     
sqr= 2427  bst= 1.053e-24  num= 35  per=100000000  inf= 3 2 10     
sqr= 88.62  bst= 1.053e-24  num= 36  per=100000000  inf= 3 2 10     
sqr= 8.984e-24  bst= 1.053e-24  num= 37  per=100000000  inf= 3 2 10     
sqr= 6.87e-24  bst= 1.053e-24  num= 38  per=100000000  inf= 3 2 10     
sqr= 1.45e-24  bst= 1.053e-24  num= 39  per=100000000  inf= 3 2 10     
sqr= 2087  bst= 1.053e-24  num= 40  per=100000000  inf= 3 2 10     
sqr= 1240  bst= 1.053e-24  num= 41  per=100000000  inf= 3 2 10     
sqr= 4.325e-24  bst= 1.053e-24  num= 42  per=100000000  inf= 3 2 10     
sqr= 2438  bst= 1.053e-24  num= 43  per=100000000  inf= 3 2 10     
sqr= 9.56e-23  bst= 1.053e-24  num= 44  per=100000000  inf= 3 2 10     
sqr= 1.545e-25  bst= 1.545e-25  num= 45  per=100000000  inf= 3 2 10     
sqr= 1.02e-21  bst= 1.545e-25  num= 46  per=100000000  inf= 3 2 10     
sqr= 386.6  bst= 1.545e-25  num= 47  per=100000000  inf= 3 2 10     
sqr= 1255  bst= 1.545e-25  num= 48  per=100000000  inf= 3 2 10     
sqr= 2052  bst= 1.545e-25  num= 49  per=100000000  inf= 3 2 10     
sqr= 7.829e-23  bst= 1.545e-25  num= 50  per=100000000  inf= 3 2 10     
sqr= 4.988  bst= 1.545e-25  num= 51  per=100000000  inf= 3 2 10     
sqr= 51.65  bst= 1.545e-25  num= 52  per=100000000  inf= 3 2 10     
sqr= 7.007e-24  bst= 1.545e-25  num= 53  per=100000000  inf= 3 2 10     
sqr= 1291  bst= 1.545e-25  num= 54  per=100000000  inf= 3 2 10     
sqr= 1676  bst= 1.545e-25  num= 55  per=100000000  inf= 3 2 10     
sqr= 95.13  bst= 1.545e-25  num= 56  per=100000000  inf= 3 2 10     
sqr= 2.312e-22  bst= 1.545e-25  num= 57  per=100000000  inf= 3 2 10     
sqr= 1.319e-23  bst= 1.545e-25  num= 58  per=100000000  inf= 3 2 10     
sqr= 1.23e-22  bst= 1.545e-25  num= 59  per=100000000  inf= 3 2 10     
sqr= 0.4457  bst= 1.545e-25  num= 60  per=100000000  inf= 3 2 10     
sqr= 1.845e-23  bst= 1.545e-25  num= 61  per=100000000  inf= 3 2 10     
