dimension: 5
max non-zeros: 10
min non-zeros: 1
avg non-zeros: 2
we have 66 chains
55 are fixed
11 are free
6 have radius zero
   5 of these are fixed
   1 of these are free
60 have radius non-zero
   50 of these are fixed
   10 of these are free

sqr= 7218  bst= 7218  num= 1  per=1  inf= 66 11 55     
sqr= 7832  bst= 7832  num= 2  per=100000000  inf= 66 11 55     
sqr= 5707  bst= 5707  num= 3  per=100000000  inf= 66 11 55     
sqr= 5809  bst= 5707  num= 4  per=100000000  inf= 66 11 55     
sqr= 7811  bst= 5707  num= 5  per=100000000  inf= 66 11 55     
sqr= 7988  bst= 5707  num= 6  per=100000000  inf= 66 11 55     
sqr= 4773  bst= 4773  num= 7  per=100000000  inf= 66 11 55     
sqr= 8021  bst= 4773  num= 8  per=100000000  inf= 66 11 55     
sqr= 7886  bst= 4773  num= 9  per=100000000  inf= 66 11 55     
sqr= 1.198e+04  bst= 4773  num= 10  per=100000000  inf= 66 11 55     
sqr= 1.672e+05  bst= 4773  num= 11  per=100000000  inf= 66 11 55     
sqr= 8713  bst= 4773  num= 12  per=100000000  inf= 66 11 55     
sqr= 7.297e+04  bst= 4773  num= 13  per=100000000  inf= 66 11 55     
sqr= 1.632e+05  bst= 4773  num= 14  per=100000000  inf= 66 11 55     
sqr= 1.673e+05  bst= 4773  num= 15  per=100000000  inf= 66 11 55     
sqr= 7144  bst= 4773  num= 16  per=100000000  inf= 66 11 55     
sqr= 1.087e+04  bst= 4773  num= 17  per=100000000  inf= 66 11 55     
sqr= 8637  bst= 4773  num= 18  per=100000000  inf= 66 11 55     
sqr= 5345  bst= 4773  num= 19  per=100000000  inf= 66 11 55     
sqr= 8.066e+04  bst= 4773  num= 20  per=100000000  inf= 66 11 55     
sqr= 5605  bst= 4773  num= 21  per=100000000  inf= 66 11 55     
sqr= 5832  bst= 4773  num= 22  per=100000000  inf= 66 11 55     
sqr= 6987  bst= 4773  num= 23  per=100000000  inf= 66 11 55     
sqr= 9242  bst= 4773  num= 24  per=100000000  inf= 66 11 55     
sqr= 7385  bst= 4773  num= 25  per=100000000  inf= 66 11 55     
sqr= 9359  bst= 4773  num= 26  per=100000000  inf= 66 11 55     
sqr= 7082  bst= 4773  num= 27  per=100000000  inf= 66 11 55     
