dimension: 6
max non-zeros: 8
min non-zeros: 1
avg non-zeros: 2
we have 45 chains
36 are fixed
9 are free
5 have radius zero
   4 of these are fixed
   1 of these are free
40 have radius non-zero
   32 of these are fixed
   8 of these are free

sqr= 124.6  bst= 124.6  num= 1  per=1  inf= 45 9 54     
sqr= 9.291e+04  bst= 9.291e+04  num= 2  per=100000000  inf= 45 9 54     
sqr= 189.8  bst= 189.8  num= 3  per=100000000  inf= 45 9 54     
sqr= 195.5  bst= 189.8  num= 4  per=100000000  inf= 45 9 54     
sqr= 401.9  bst= 189.8  num= 5  per=100000000  inf= 45 9 54     
sqr= 94.36  bst= 94.36  num= 6  per=100000000  inf= 45 9 54     
sqr= 1.098e+05  bst= 94.36  num= 7  per=100000000  inf= 45 9 54     
sqr= 3.891e+04  bst= 94.36  num= 8  per=100000000  inf= 45 9 54     
sqr= 246  bst= 94.36  num= 9  per=100000000  inf= 45 9 54     
sqr= 94.27  bst= 94.27  num= 10  per=100000000  inf= 45 9 54     
sqr= 205.3  bst= 94.27  num= 11  per=100000000  inf= 45 9 54     
sqr= 88.43  bst= 88.43  num= 12  per=100000000  inf= 45 9 54     
sqr= 109.9  bst= 88.43  num= 13  per=100000000  inf= 45 9 54     
sqr= 195.6  bst= 88.43  num= 14  per=100000000  inf= 45 9 54     
sqr= 140.1  bst= 88.43  num= 15  per=100000000  inf= 45 9 54     
sqr= 171  bst= 88.43  num= 16  per=100000000  inf= 45 9 54     
sqr= 302.4  bst= 88.43  num= 17  per=100000000  inf= 45 9 54     
sqr= 7.776e+04  bst= 88.43  num= 18  per=100000000  inf= 45 9 54     
sqr= 284.8  bst= 88.43  num= 19  per=100000000  inf= 45 9 54     
sqr= 606.5  bst= 88.43  num= 20  per=100000000  inf= 45 9 54     
sqr= 549.4  bst= 88.43  num= 21  per=100000000  inf= 45 9 54     
sqr= 78.39  bst= 78.39  num= 22  per=100000000  inf= 45 9 54     
sqr= 495.4  bst= 78.39  num= 23  per=100000000  inf= 45 9 54     
sqr= 266.6  bst= 78.39  num= 24  per=100000000  inf= 45 9 54     
sqr= 169.2  bst= 78.39  num= 25  per=100000000  inf= 45 9 54     
sqr= 4.794e+04  bst= 78.39  num= 26  per=100000000  inf= 45 9 54     
sqr= 3.447e+04  bst= 78.39  num= 27  per=100000000  inf= 45 9 54     
sqr= 179.5  bst= 78.39  num= 28  per=100000000  inf= 45 9 54     
sqr= 1022  bst= 78.39  num= 29  per=100000000  inf= 45 9 54     
sqr= 266.7  bst= 78.39  num= 30  per=100000000  inf= 45 9 54     
sqr= 27.31  bst= 27.31  num= 31  per=100000000  inf= 45 9 54     
sqr= 145.1  bst= 27.31  num= 32  per=100000000  inf= 45 9 54     
sqr= 65.12  bst= 27.31  num= 33  per=100000000  inf= 45 9 54     
sqr= 62.51  bst= 27.31  num= 34  per=100000000  inf= 45 9 54     
sqr= 399.6  bst= 27.31  num= 35  per=100000000  inf= 45 9 54     
sqr= 30.41  bst= 27.31  num= 36  per=100000000  inf= 45 9 54     
sqr= 31.1  bst= 27.31  num= 37  per=100000000  inf= 45 9 54     
sqr= 1048  bst= 27.31  num= 38  per=100000000  inf= 45 9 54     
sqr= 25.08  bst= 25.08  num= 39  per=100000000  inf= 45 9 54     
sqr= 2.554e+04  bst= 25.08  num= 40  per=100000000  inf= 45 9 54     
sqr= 234.6  bst= 25.08  num= 41  per=100000000  inf= 45 9 54     
sqr= 154.8  bst= 25.08  num= 42  per=100000000  inf= 45 9 54     
sqr= 160.6  bst= 25.08  num= 43  per=100000000  inf= 45 9 54     
sqr= 158.9  bst= 25.08  num= 44  per=100000000  inf= 45 9 54     
sqr= 240.1  bst= 25.08  num= 45  per=100000000  inf= 45 9 54     
sqr= 108.8  bst= 25.08  num= 46  per=100000000  inf= 45 9 54     
sqr= 537.1  bst= 25.08  num= 47  per=100000000  inf= 45 9 54     
sqr= 114.7  bst= 25.08  num= 48  per=100000000  inf= 45 9 54     
sqr= 122.6  bst= 25.08  num= 49  per=100000000  inf= 45 9 54     
sqr= 5.152e+04  bst= 25.08  num= 50  per=100000000  inf= 45 9 54     
sqr= 1.001e+05  bst= 25.08  num= 51  per=100000000  inf= 45 9 54     
sqr= 1.134e+05  bst= 25.08  num= 52  per=100000000  inf= 45 9 54     
sqr= 685.7  bst= 25.08  num= 53  per=100000000  inf= 45 9 54     
sqr= 3.381e+04  bst= 25.08  num= 54  per=100000000  inf= 45 9 54     
sqr= 265.2  bst= 25.08  num= 55  per=100000000  inf= 45 9 54     
sqr= 235.1  bst= 25.08  num= 56  per=100000000  inf= 45 9 54     
sqr= 257.9  bst= 25.08  num= 57  per=100000000  inf= 45 9 54     
sqr= 426.1  bst= 25.08  num= 58  per=100000000  inf= 45 9 54     
sqr= 96.38  bst= 25.08  num= 59  per=100000000  inf= 45 9 54     
sqr= 82.56  bst= 25.08  num= 60  per=100000000  inf= 45 9 54     
sqr= 203.8  bst= 25.08  num= 61  per=100000000  inf= 45 9 54     
sqr= 421.5  bst= 25.08  num= 62  per=100000000  inf= 45 9 54     
sqr= 3.556e+04  bst= 25.08  num= 63  per=100000000  inf= 45 9 54     
sqr= 421.6  bst= 25.08  num= 64  per=100000000  inf= 45 9 54     
sqr= 2.74e+04  bst= 25.08  num= 65  per=100000000  inf= 45 9 54     
sqr= 210  bst= 25.08  num= 66  per=100000000  inf= 45 9 54     
sqr= 562.5  bst= 25.08  num= 67  per=100000000  inf= 45 9 54     
sqr= 326.2  bst= 25.08  num= 68  per=100000000  inf= 45 9 54     
sqr= 107.2  bst= 25.08  num= 69  per=100000000  inf= 45 9 54     
sqr= 3.663e+04  bst= 25.08  num= 70  per=100000000  inf= 45 9 54     
sqr= 199.2  bst= 25.08  num= 71  per=100000000  inf= 45 9 54     
sqr= 159.4  bst= 25.08  num= 72  per=100000000  inf= 45 9 54     
sqr= 1010  bst= 25.08  num= 73  per=100000000  inf= 45 9 54     
sqr= 225.9  bst= 25.08  num= 74  per=100000000  inf= 45 9 54     
sqr= 4.787e+04  bst= 25.08  num= 75  per=100000000  inf= 45 9 54     
sqr= 229.8  bst= 25.08  num= 76  per=100000000  inf= 45 9 54     
sqr= 89.16  bst= 25.08  num= 77  per=100000000  inf= 45 9 54     
sqr= 494.2  bst= 25.08  num= 78  per=100000000  inf= 45 9 54     
sqr= 281.5  bst= 25.08  num= 79  per=100000000  inf= 45 9 54     
sqr= 6.462e+04  bst= 25.08  num= 80  per=100000000  inf= 45 9 54     
sqr= 9.748e+04  bst= 25.08  num= 81  per=100000000  inf= 45 9 54     
sqr= 663.1  bst= 25.08  num= 82  per=100000000  inf= 45 9 54     
sqr= 123.3  bst= 25.08  num= 83  per=100000000  inf= 45 9 54     
sqr= 179.7  bst= 25.08  num= 84  per=100000000  inf= 45 9 54     
sqr= 359.2  bst= 25.08  num= 85  per=100000000  inf= 45 9 54     
sqr= 4.669e+04  bst= 25.08  num= 86  per=100000000  inf= 45 9 54     
sqr= 137.4  bst= 25.08  num= 87  per=100000000  inf= 45 9 54     
sqr= 18.83  bst= 18.83  num= 88  per=100000000  inf= 45 9 54     
sqr= 69.77  bst= 18.83  num= 89  per=100000000  inf= 45 9 54     
sqr= 355.3  bst= 18.83  num= 90  per=100000000  inf= 45 9 54     
sqr= 196.1  bst= 18.83  num= 91  per=100000000  inf= 45 9 54     
sqr= 5.469e+04  bst= 18.83  num= 92  per=100000000  inf= 45 9 54     
sqr= 4.46e+04  bst= 18.83  num= 93  per=100000000  inf= 45 9 54     
sqr= 614.2  bst= 18.83  num= 94  per=100000000  inf= 45 9 54     
sqr= 1.092e+05  bst= 18.83  num= 95  per=100000000  inf= 45 9 54     
sqr= 53.28  bst= 18.83  num= 96  per=100000000  inf= 45 9 54     
sqr= 316  bst= 18.83  num= 97  per=100000000  inf= 45 9 54     
sqr= 308.6  bst= 18.83  num= 98  per=100000000  inf= 45 9 54     
sqr= 92.37  bst= 18.83  num= 99  per=100000000  inf= 45 9 54     
sqr= 156.6  bst= 18.83  num= 100  per=100000000  inf= 45 9 54     
sqr= 438.7  bst= 18.83  num= 101  per=100000000  inf= 45 9 54     
sqr= 2.895e+04  bst= 18.83  num= 102  per=100000000  inf= 45 9 54     
sqr= 312  bst= 18.83  num= 103  per=100000000  inf= 45 9 54     
sqr= 292.9  bst= 18.83  num= 104  per=100000000  inf= 45 9 54     
sqr= 64.49  bst= 18.83  num= 105  per=100000000  inf= 45 9 54     
sqr= 9.389e+04  bst= 18.83  num= 106  per=100000000  inf= 45 9 54     
sqr= 111.6  bst= 18.83  num= 107  per=100000000  inf= 45 9 54     
sqr= 146.3  bst= 18.83  num= 108  per=100000000  inf= 45 9 54     
sqr= 3.64e+04  bst= 18.83  num= 109  per=100000000  inf= 45 9 54     
sqr= 60.76  bst= 18.83  num= 110  per=100000000  inf= 45 9 54     
sqr= 660.6  bst= 18.83  num= 111  per=100000000  inf= 45 9 54     
sqr= 6.211e+04  bst= 18.83  num= 112  per=100000000  inf= 45 9 54     
sqr= 210.6  bst= 18.83  num= 113  per=100000000  inf= 45 9 54     
sqr= 68.23  bst= 18.83  num= 114  per=100000000  inf= 45 9 54     
sqr= 3.486e+04  bst= 18.83  num= 115  per=100000000  inf= 45 9 54     
sqr= 271.1  bst= 18.83  num= 116  per=100000000  inf= 45 9 54     
sqr= 289  bst= 18.83  num= 117  per=100000000  inf= 45 9 54     
sqr= 5.534e+04  bst= 18.83  num= 118  per=100000000  inf= 45 9 54     
sqr= 174.8  bst= 18.83  num= 119  per=100000000  inf= 45 9 54     
sqr= 43.53  bst= 18.83  num= 120  per=100000000  inf= 45 9 54     
sqr= 448.4  bst= 18.83  num= 121  per=100000000  inf= 45 9 54     
sqr= 589.9  bst= 18.83  num= 122  per=100000000  inf= 45 9 54     
sqr= 163.1  bst= 18.83  num= 123  per=100000000  inf= 45 9 54     
sqr= 122.2  bst= 18.83  num= 124  per=100000000  inf= 45 9 54     
sqr= 645.3  bst= 18.83  num= 125  per=100000000  inf= 45 9 54     
sqr= 891.6  bst= 18.83  num= 126  per=100000000  inf= 45 9 54     
sqr= 3.938e+04  bst= 18.83  num= 127  per=100000000  inf= 45 9 54     
sqr= 224.2  bst= 18.83  num= 128  per=100000000  inf= 45 9 54     
sqr= 202.9  bst= 18.83  num= 129  per=100000000  inf= 45 9 54     
sqr= 252.7  bst= 18.83  num= 130  per=100000000  inf= 45 9 54     
sqr= 4.046e+04  bst= 18.83  num= 131  per=100000000  inf= 45 9 54     
sqr= 728.7  bst= 18.83  num= 132  per=100000000  inf= 45 9 54     
sqr= 257.1  bst= 18.83  num= 133  per=100000000  inf= 45 9 54     
sqr= 115.1  bst= 18.83  num= 134  per=100000000  inf= 45 9 54     
sqr= 228.4  bst= 18.83  num= 135  per=100000000  inf= 45 9 54     
sqr= 793.3  bst= 18.83  num= 136  per=100000000  inf= 45 9 54     
sqr= 164.3  bst= 18.83  num= 137  per=100000000  inf= 45 9 54     
sqr= 3.101e+04  bst= 18.83  num= 138  per=100000000  inf= 45 9 54     
sqr= 142.6  bst= 18.83  num= 139  per=100000000  inf= 45 9 54     
sqr= 115.8  bst= 18.83  num= 140  per=100000000  inf= 45 9 54     
sqr= 241.7  bst= 18.83  num= 141  per=100000000  inf= 45 9 54     
sqr= 211.5  bst= 18.83  num= 142  per=100000000  inf= 45 9 54     
sqr= 1.138e+05  bst= 18.83  num= 143  per=100000000  inf= 45 9 54     
sqr= 42.66  bst= 18.83  num= 144  per=100000000  inf= 45 9 54     
sqr= 349.7  bst= 18.83  num= 145  per=100000000  inf= 45 9 54     
sqr= 22.45  bst= 18.83  num= 146  per=100000000  inf= 45 9 54     
sqr= 144.6  bst= 18.83  num= 147  per=100000000  inf= 45 9 54     
sqr= 146.4  bst= 18.83  num= 148  per=100000000  inf= 45 9 54     
sqr= 754  bst= 18.83  num= 149  per=100000000  inf= 45 9 54     
sqr= 150.9  bst= 18.83  num= 150  per=100000000  inf= 45 9 54     
sqr= 246.9  bst= 18.83  num= 151  per=100000000  inf= 45 9 54     
sqr= 405.9  bst= 18.83  num= 152  per=100000000  inf= 45 9 54     
sqr= 276.7  bst= 18.83  num= 153  per=100000000  inf= 45 9 54     
sqr= 169.4  bst= 18.83  num= 154  per=100000000  inf= 45 9 54     
sqr= 799.3  bst= 18.83  num= 155  per=100000000  inf= 45 9 54     
sqr= 284.1  bst= 18.83  num= 156  per=100000000  inf= 45 9 54     
sqr= 498.4  bst= 18.83  num= 157  per=100000000  inf= 45 9 54     
sqr= 170.2  bst= 18.83  num= 158  per=100000000  inf= 45 9 54     
sqr= 166.6  bst= 18.83  num= 159  per=100000000  inf= 45 9 54     
sqr= 388.5  bst= 18.83  num= 160  per=100000000  inf= 45 9 54     
sqr= 502.4  bst= 18.83  num= 161  per=100000000  inf= 45 9 54     
sqr= 82.34  bst= 18.83  num= 162  per=100000000  inf= 45 9 54     
sqr= 121.8  bst= 18.83  num= 163  per=100000000  inf= 45 9 54     
sqr= 5.028e+04  bst= 18.83  num= 164  per=100000000  inf= 45 9 54     
sqr= 389  bst= 18.83  num= 165  per=100000000  inf= 45 9 54     
sqr= 184.9  bst= 18.83  num= 166  per=100000000  inf= 45 9 54     
sqr= 293  bst= 18.83  num= 167  per=100000000  inf= 45 9 54     
sqr= 231.1  bst= 18.83  num= 168  per=100000000  inf= 45 9 54     
sqr= 358.1  bst= 18.83  num= 169  per=100000000  inf= 45 9 54     
sqr= 638.5  bst= 18.83  num= 170  per=100000000  inf= 45 9 54     
sqr= 167.4  bst= 18.83  num= 171  per=100000000  inf= 45 9 54     
sqr= 574.2  bst= 18.83  num= 172  per=100000000  inf= 45 9 54     
sqr= 226.6  bst= 18.83  num= 173  per=100000000  inf= 45 9 54     
sqr= 3.402e+04  bst= 18.83  num= 174  per=100000000  inf= 45 9 54     
sqr= 116  bst= 18.83  num= 175  per=100000000  inf= 45 9 54     
sqr= 9.015e+04  bst= 18.83  num= 176  per=100000000  inf= 45 9 54     
sqr= 106.8  bst= 18.83  num= 177  per=100000000  inf= 45 9 54     
sqr= 188.9  bst= 18.83  num= 178  per=100000000  inf= 45 9 54     
sqr= 338.7  bst= 18.83  num= 179  per=100000000  inf= 45 9 54     
sqr= 30.81  bst= 18.83  num= 180  per=100000000  inf= 45 9 54     
sqr= 802.3  bst= 18.83  num= 181  per=100000000  inf= 45 9 54     
sqr= 219.3  bst= 18.83  num= 182  per=100000000  inf= 45 9 54     
sqr= 67.33  bst= 18.83  num= 183  per=100000000  inf= 45 9 54     
sqr= 414  bst= 18.83  num= 184  per=100000000  inf= 45 9 54     
sqr= 130.3  bst= 18.83  num= 185  per=100000000  inf= 45 9 54     
sqr= 430.9  bst= 18.83  num= 186  per=100000000  inf= 45 9 54     
sqr= 77.55  bst= 18.83  num= 187  per=100000000  inf= 45 9 54     
sqr= 85.29  bst= 18.83  num= 188  per=100000000  inf= 45 9 54     
sqr= 520.5  bst= 18.83  num= 189  per=100000000  inf= 45 9 54     
sqr= 4.57e+04  bst= 18.83  num= 190  per=100000000  inf= 45 9 54     
sqr= 450.5  bst= 18.83  num= 191  per=100000000  inf= 45 9 54     
sqr= 387.8  bst= 18.83  num= 192  per=100000000  inf= 45 9 54     
sqr= 701.4  bst= 18.83  num= 193  per=100000000  inf= 45 9 54     
sqr= 896.9  bst= 18.83  num= 194  per=100000000  inf= 45 9 54     
sqr= 200.9  bst= 18.83  num= 195  per=100000000  inf= 45 9 54     
sqr= 460.8  bst= 18.83  num= 196  per=100000000  inf= 45 9 54     
sqr= 206.3  bst= 18.83  num= 197  per=100000000  inf= 45 9 54     
sqr= 3.95e+04  bst= 18.83  num= 198  per=100000000  inf= 45 9 54     
sqr= 239.4  bst= 18.83  num= 199  per=100000000  inf= 45 9 54     
sqr= 83.45  bst= 18.83  num= 200  per=100000000  inf= 45 9 54     
sqr= 1.099e+05  bst= 18.83  num= 201  per=100000000  inf= 45 9 54     
sqr= 95.85  bst= 18.83  num= 202  per=100000000  inf= 45 9 54     
sqr= 158.6  bst= 18.83  num= 203  per=100000000  inf= 45 9 54     
sqr= 351.6  bst= 18.83  num= 204  per=100000000  inf= 45 9 54     
sqr= 236.5  bst= 18.83  num= 205  per=100000000  inf= 45 9 54     
sqr= 120  bst= 18.83  num= 206  per=100000000  inf= 45 9 54     
sqr= 146.4  bst= 18.83  num= 207  per=100000000  inf= 45 9 54     
sqr= 316.8  bst= 18.83  num= 208  per=100000000  inf= 45 9 54     
sqr= 150.9  bst= 18.83  num= 209  per=100000000  inf= 45 9 54     
sqr= 5.194e+04  bst= 18.83  num= 210  per=100000000  inf= 45 9 54     
sqr= 674.9  bst= 18.83  num= 211  per=100000000  inf= 45 9 54     
sqr= 180  bst= 18.83  num= 212  per=100000000  inf= 45 9 54     
sqr= 119.6  bst= 18.83  num= 213  per=100000000  inf= 45 9 54     
sqr= 428.3  bst= 18.83  num= 214  per=100000000  inf= 45 9 54     
sqr= 4.356e+04  bst= 18.83  num= 215  per=100000000  inf= 45 9 54     
sqr= 593.3  bst= 18.83  num= 216  per=100000000  inf= 45 9 54     
sqr= 1.17e+05  bst= 18.83  num= 217  per=100000000  inf= 45 9 54     
sqr= 6.503e+04  bst= 18.83  num= 218  per=100000000  inf= 45 9 54     
sqr= 263  bst= 18.83  num= 219  per=100000000  inf= 45 9 54     
sqr= 4.385e+04  bst= 18.83  num= 220  per=100000000  inf= 45 9 54     
sqr= 613.1  bst= 18.83  num= 221  per=100000000  inf= 45 9 54     
sqr= 1.027e+05  bst= 18.83  num= 222  per=100000000  inf= 45 9 54     
sqr= 1.03e+05  bst= 18.83  num= 223  per=100000000  inf= 45 9 54     
sqr= 332.7  bst= 18.83  num= 224  per=100000000  inf= 45 9 54     
sqr= 120.6  bst= 18.83  num= 225  per=100000000  inf= 45 9 54     
sqr= 3.727e+04  bst= 18.83  num= 226  per=100000000  inf= 45 9 54     
sqr= 108  bst= 18.83  num= 227  per=100000000  inf= 45 9 54     
sqr= 200  bst= 18.83  num= 228  per=100000000  inf= 45 9 54     
sqr= 97.48  bst= 18.83  num= 229  per=100000000  inf= 45 9 54     
sqr= 157.9  bst= 18.83  num= 230  per=100000000  inf= 45 9 54     
sqr= 415.5  bst= 18.83  num= 231  per=100000000  inf= 45 9 54     
sqr= 1.247e+05  bst= 18.83  num= 232  per=100000000  inf= 45 9 54     
sqr= 472.4  bst= 18.83  num= 233  per=100000000  inf= 45 9 54     
sqr= 687.6  bst= 18.83  num= 234  per=100000000  inf= 45 9 54     
sqr= 517.9  bst= 18.83  num= 235  per=100000000  inf= 45 9 54     
sqr= 26.82  bst= 18.83  num= 236  per=100000000  inf= 45 9 54     
sqr= 5.586e+04  bst= 18.83  num= 237  per=100000000  inf= 45 9 54     
sqr= 218.6  bst= 18.83  num= 238  per=100000000  inf= 45 9 54     
sqr= 420.3  bst= 18.83  num= 239  per=100000000  inf= 45 9 54     
sqr= 310.6  bst= 18.83  num= 240  per=100000000  inf= 45 9 54     
sqr= 8.353e+04  bst= 18.83  num= 241  per=100000000  inf= 45 9 54     
sqr= 254.2  bst= 18.83  num= 242  per=100000000  inf= 45 9 54     
sqr= 156.2  bst= 18.83  num= 243  per=100000000  inf= 45 9 54     
sqr= 211.8  bst= 18.83  num= 244  per=100000000  inf= 45 9 54     
sqr= 1.062e+05  bst= 18.83  num= 245  per=100000000  inf= 45 9 54     
sqr= 552.9  bst= 18.83  num= 246  per=100000000  inf= 45 9 54     
sqr= 109.2  bst= 18.83  num= 247  per=100000000  inf= 45 9 54     
sqr= 126  bst= 18.83  num= 248  per=100000000  inf= 45 9 54     
sqr= 352.7  bst= 18.83  num= 249  per=100000000  inf= 45 9 54     
sqr= 3.076e+04  bst= 18.83  num= 250  per=100000000  inf= 45 9 54     
sqr= 154.1  bst= 18.83  num= 251  per=100000000  inf= 45 9 54     
sqr= 293.9  bst= 18.83  num= 252  per=100000000  inf= 45 9 54     
sqr= 9.821e+04  bst= 18.83  num= 253  per=100000000  inf= 45 9 54     
sqr= 9.644e+04  bst= 18.83  num= 254  per=100000000  inf= 45 9 54     
sqr= 182.7  bst= 18.83  num= 255  per=100000000  inf= 45 9 54     
sqr= 138.1  bst= 18.83  num= 256  per=100000000  inf= 45 9 54     
sqr= 333.6  bst= 18.83  num= 257  per=100000000  inf= 45 9 54     
sqr= 103.6  bst= 18.83  num= 258  per=100000000  inf= 45 9 54     
sqr= 6.156e+04  bst= 18.83  num= 259  per=100000000  inf= 45 9 54     
sqr= 294.3  bst= 18.83  num= 260  per=100000000  inf= 45 9 54     
sqr= 7.944e+04  bst= 18.83  num= 261  per=100000000  inf= 45 9 54     
sqr= 380.7  bst= 18.83  num= 262  per=100000000  inf= 45 9 54     
sqr= 194.7  bst= 18.83  num= 263  per=100000000  inf= 45 9 54     
sqr= 237.6  bst= 18.83  num= 264  per=100000000  inf= 45 9 54     
sqr= 186.6  bst= 18.83  num= 265  per=100000000  inf= 45 9 54     
sqr= 310.9  bst= 18.83  num= 266  per=100000000  inf= 45 9 54     
sqr= 195.4  bst= 18.83  num= 267  per=100000000  inf= 45 9 54     
sqr= 144.2  bst= 18.83  num= 268  per=100000000  inf= 45 9 54     
sqr= 496  bst= 18.83  num= 269  per=100000000  inf= 45 9 54     
sqr= 293.5  bst= 18.83  num= 270  per=100000000  inf= 45 9 54     
sqr= 1076  bst= 18.83  num= 271  per=100000000  inf= 45 9 54     
sqr= 319.8  bst= 18.83  num= 272  per=100000000  inf= 45 9 54     
sqr= 146.8  bst= 18.83  num= 273  per=100000000  inf= 45 9 54     
sqr= 655.9  bst= 18.83  num= 274  per=100000000  inf= 45 9 54     
sqr= 125  bst= 18.83  num= 275  per=100000000  inf= 45 9 54     
sqr= 634.1  bst= 18.83  num= 276  per=100000000  inf= 45 9 54     
sqr= 8.364e+04  bst= 18.83  num= 277  per=100000000  inf= 45 9 54     
sqr= 47.54  bst= 18.83  num= 278  per=100000000  inf= 45 9 54     
sqr= 145.4  bst= 18.83  num= 279  per=100000000  inf= 45 9 54     
sqr= 144.3  bst= 18.83  num= 280  per=100000000  inf= 45 9 54     
sqr= 3.39e+04  bst= 18.83  num= 281  per=100000000  inf= 45 9 54     
sqr= 164.7  bst= 18.83  num= 282  per=100000000  inf= 45 9 54     
sqr= 527.5  bst= 18.83  num= 283  per=100000000  inf= 45 9 54     
sqr= 245.2  bst= 18.83  num= 284  per=100000000  inf= 45 9 54     
sqr= 351.5  bst= 18.83  num= 285  per=100000000  inf= 45 9 54     
sqr= 237.5  bst= 18.83  num= 286  per=100000000  inf= 45 9 54     
sqr= 279.5  bst= 18.83  num= 287  per=100000000  inf= 45 9 54     
sqr= 504.5  bst= 18.83  num= 288  per=100000000  inf= 45 9 54     
sqr= 91.34  bst= 18.83  num= 289  per=100000000  inf= 45 9 54     
sqr= 54.84  bst= 18.83  num= 290  per=100000000  inf= 45 9 54     
sqr= 349.8  bst= 18.83  num= 291  per=100000000  inf= 45 9 54     
sqr= 87.75  bst= 18.83  num= 292  per=100000000  inf= 45 9 54     
sqr= 132.3  bst= 18.83  num= 293  per=100000000  inf= 45 9 54     
sqr= 314.9  bst= 18.83  num= 294  per=100000000  inf= 45 9 54     
sqr= 494.8  bst= 18.83  num= 295  per=100000000  inf= 45 9 54     
sqr= 255.1  bst= 18.83  num= 296  per=100000000  inf= 45 9 54     
sqr= 472.1  bst= 18.83  num= 297  per=100000000  inf= 45 9 54     
