dimension: 6
max non-zeros: 10
min non-zeros: 1
avg non-zeros: 2
we have 66 chains
55 are fixed
11 are free
12 have radius zero
   10 of these are fixed
   2 of these are free
54 have radius non-zero
   45 of these are fixed
   9 of these are free

sqr= 2379  bst= 2379  num= 1  per=1  inf= 66 11 66     
sqr= 5539  bst= 5539  num= 2  per=100000000  inf= 66 11 66     
sqr= 2877  bst= 2877  num= 3  per=100000000  inf= 66 11 66     
sqr= 3592  bst= 2877  num= 4  per=100000000  inf= 66 11 66     
sqr= 5634  bst= 2877  num= 5  per=100000000  inf= 66 11 66     
sqr= 1961  bst= 1961  num= 6  per=100000000  inf= 66 11 66     
sqr= 5132  bst= 1961  num= 7  per=100000000  inf= 66 11 66     
sqr= 3898  bst= 1961  num= 8  per=100000000  inf= 66 11 66     
sqr= 2671  bst= 1961  num= 9  per=100000000  inf= 66 11 66     
sqr= 4791  bst= 1961  num= 10  per=100000000  inf= 66 11 66     
sqr= 5526  bst= 1961  num= 11  per=100000000  inf= 66 11 66     
sqr= 4274  bst= 1961  num= 12  per=100000000  inf= 66 11 66     
sqr= 4692  bst= 1961  num= 13  per=100000000  inf= 66 11 66     
sqr= 1.422e+05  bst= 1961  num= 14  per=100000000  inf= 66 11 66     
sqr= 3337  bst= 1961  num= 15  per=100000000  inf= 66 11 66     
sqr= 3398  bst= 1961  num= 16  per=100000000  inf= 66 11 66     
sqr= 2460  bst= 1961  num= 17  per=100000000  inf= 66 11 66     
sqr= 1887  bst= 1887  num= 18  per=100000000  inf= 66 11 66     
sqr= 1.015e+05  bst= 1887  num= 19  per=100000000  inf= 66 11 66     
sqr= 4086  bst= 1887  num= 20  per=100000000  inf= 66 11 66     
sqr= 4294  bst= 1887  num= 21  per=100000000  inf= 66 11 66     
sqr= 3877  bst= 1887  num= 22  per=100000000  inf= 66 11 66     
sqr= 2845  bst= 1887  num= 23  per=100000000  inf= 66 11 66     
sqr= 1.079e+05  bst= 1887  num= 24  per=100000000  inf= 66 11 66     
sqr= 4311  bst= 1887  num= 25  per=100000000  inf= 66 11 66     
sqr= 3296  bst= 1887  num= 26  per=100000000  inf= 66 11 66     
sqr= 3118  bst= 1887  num= 27  per=100000000  inf= 66 11 66     
sqr= 1.92e+05  bst= 1887  num= 28  per=100000000  inf= 66 11 66     
sqr= 1.763e+05  bst= 1887  num= 29  per=100000000  inf= 66 11 66     
sqr= 1.638e+05  bst= 1887  num= 30  per=100000000  inf= 66 11 66     
sqr= 5.7e+04  bst= 1887  num= 31  per=100000000  inf= 66 11 66     
sqr= 6.162e+04  bst= 1887  num= 32  per=100000000  inf= 66 11 66     
sqr= 3709  bst= 1887  num= 33  per=100000000  inf= 66 11 66     
sqr= 3250  bst= 1887  num= 34  per=100000000  inf= 66 11 66     
sqr= 2319  bst= 1887  num= 35  per=100000000  inf= 66 11 66     
sqr= 1.961e+05  bst= 1887  num= 36  per=100000000  inf= 66 11 66     
sqr= 5618  bst= 1887  num= 37  per=100000000  inf= 66 11 66     
sqr= 3502  bst= 1887  num= 38  per=100000000  inf= 66 11 66     
sqr= 3157  bst= 1887  num= 39  per=100000000  inf= 66 11 66     
sqr= 3581  bst= 1887  num= 40  per=100000000  inf= 66 11 66     
sqr= 4628  bst= 1887  num= 41  per=100000000  inf= 66 11 66     
sqr= 6538  bst= 1887  num= 42  per=100000000  inf= 66 11 66     
sqr= 1.469e+05  bst= 1887  num= 43  per=100000000  inf= 66 11 66     
sqr= 2478  bst= 1887  num= 44  per=100000000  inf= 66 11 66     
sqr= 3701  bst= 1887  num= 45  per=100000000  inf= 66 11 66     
sqr= 3470  bst= 1887  num= 46  per=100000000  inf= 66 11 66     
sqr= 3838  bst= 1887  num= 47  per=100000000  inf= 66 11 66     
sqr= 3025  bst= 1887  num= 48  per=100000000  inf= 66 11 66     
sqr= 1.921e+05  bst= 1887  num= 49  per=100000000  inf= 66 11 66     
sqr= 2756  bst= 1887  num= 50  per=100000000  inf= 66 11 66     
sqr= 2748  bst= 1887  num= 51  per=100000000  inf= 66 11 66     
sqr= 1.732e+05  bst= 1887  num= 52  per=100000000  inf= 66 11 66     
sqr= 1887  bst= 1887  num= 53  per=100000000  inf= 66 11 66     
sqr= 2953  bst= 1887  num= 54  per=100000000  inf= 66 11 66     
sqr= 3688  bst= 1887  num= 55  per=100000000  inf= 66 11 66     
sqr= 2.035e+05  bst= 1887  num= 56  per=100000000  inf= 66 11 66     
