dimension: 6
max non-zeros: 8
min non-zeros: 1
avg non-zeros: 2
we have 45 chains
36 are fixed
9 are free
12 have radius zero
   10 of these are fixed
   2 of these are free
33 have radius non-zero
   26 of these are fixed
   7 of these are free

sqr= 1687  bst= 1687  num= 1  per=1  inf= 45 9 54     
sqr= 68.08  bst= 68.08  num= 2  per=100000000  inf= 45 9 54     
sqr= 1157  bst= 68.08  num= 3  per=100000000  inf= 45 9 54     
sqr= 694.1  bst= 68.08  num= 4  per=100000000  inf= 45 9 54     
sqr= 999.6  bst= 68.08  num= 5  per=100000000  inf= 45 9 54     
sqr= 173.4  bst= 68.08  num= 6  per=100000000  inf= 45 9 54     
sqr= nan  bst= 68.08  num= 7  per=100000000  inf= 45 9 54     
sqr= 1.608e+05  bst= 68.08  num= 8  per=100000000  inf= 45 9 54     
sqr= 1372  bst= 68.08  num= 9  per=100000000  inf= 45 9 54     
sqr= 810.4  bst= 68.08  num= 10  per=100000000  inf= 45 9 54     
sqr= 519.8  bst= 68.08  num= 11  per=100000000  inf= 45 9 54     
sqr= 859.3  bst= 68.08  num= 12  per=100000000  inf= 45 9 54     
sqr= 842.5  bst= 68.08  num= 13  per=100000000  inf= 45 9 54     
sqr= 1008  bst= 68.08  num= 14  per=100000000  inf= 45 9 54     
sqr= 2686  bst= 68.08  num= 15  per=100000000  inf= 45 9 54     
sqr= 892.6  bst= 68.08  num= 16  per=100000000  inf= 45 9 54     
sqr= 926.1  bst= 68.08  num= 17  per=100000000  inf= 45 9 54     
sqr= 1.227e+05  bst= 68.08  num= 18  per=100000000  inf= 45 9 54     
sqr= 2281  bst= 68.08  num= 19  per=100000000  inf= 45 9 54     
sqr= 1341  bst= 68.08  num= 20  per=100000000  inf= 45 9 54     
sqr= 7.449e+04  bst= 68.08  num= 21  per=100000000  inf= 45 9 54     
sqr= 1519  bst= 68.08  num= 22  per=100000000  inf= 45 9 54     
sqr= 1921  bst= 68.08  num= 23  per=100000000  inf= 45 9 54     
sqr= 765.3  bst= 68.08  num= 24  per=100000000  inf= 45 9 54     
sqr= 435.9  bst= 68.08  num= 25  per=100000000  inf= 45 9 54     
sqr= 3365  bst= 68.08  num= 26  per=100000000  inf= 45 9 54     
sqr= 784.6  bst= 68.08  num= 27  per=100000000  inf= 45 9 54     
sqr= 429.3  bst= 68.08  num= 28  per=100000000  inf= 45 9 54     
sqr= 2264  bst= 68.08  num= 29  per=100000000  inf= 45 9 54     
sqr= 747.6  bst= 68.08  num= 30  per=100000000  inf= 45 9 54     
sqr= 995.3  bst= 68.08  num= 31  per=100000000  inf= 45 9 54     
sqr= 1292  bst= 68.08  num= 32  per=100000000  inf= 45 9 54     
sqr= 1242  bst= 68.08  num= 33  per=100000000  inf= 45 9 54     
sqr= 1.609e+05  bst= 68.08  num= 34  per=100000000  inf= 45 9 54     
sqr= 941.4  bst= 68.08  num= 35  per=100000000  inf= 45 9 54     
sqr= 1158  bst= 68.08  num= 36  per=100000000  inf= 45 9 54     
sqr= 652.9  bst= 68.08  num= 37  per=100000000  inf= 45 9 54     
