dimension: 6
max non-zeros: 11
min non-zeros: 1
avg non-zeros: 2
we have 78 chains
66 are fixed
12 are free
22 have radius zero
   19 of these are fixed
   3 of these are free
56 have radius non-zero
   47 of these are fixed
   9 of these are free

sqr= 1.068e+04  bst= 1.068e+04  num= 1  per=1  inf= 78 12 72     
sqr= 3727  bst= 3727  num= 2  per=100000000  inf= 78 12 72     
sqr= 1.456e+05  bst= 3727  num= 3  per=100000000  inf= 78 12 72     
sqr= 7274  bst= 3727  num= 4  per=100000000  inf= 78 12 72     
sqr= 9701  bst= 3727  num= 5  per=100000000  inf= 78 12 72     
sqr= 1.036e+04  bst= 3727  num= 6  per=100000000  inf= 78 12 72     
sqr= 1.17e+04  bst= 3727  num= 7  per=100000000  inf= 78 12 72     
sqr= 5636  bst= 3727  num= 8  per=100000000  inf= 78 12 72     
sqr= 3591  bst= 3591  num= 9  per=100000000  inf= 78 12 72     
sqr= 6004  bst= 3591  num= 10  per=100000000  inf= 78 12 72     
sqr= 3751  bst= 3591  num= 11  per=100000000  inf= 78 12 72     
sqr= 2.791e+05  bst= 3591  num= 12  per=100000000  inf= 78 12 72     
sqr= 1.189e+04  bst= 3591  num= 13  per=100000000  inf= 78 12 72     
sqr= 2.805e+05  bst= 3591  num= 14  per=100000000  inf= 78 12 72     
sqr= 7441  bst= 3591  num= 15  per=100000000  inf= 78 12 72     
sqr= 1.199e+04  bst= 3591  num= 16  per=100000000  inf= 78 12 72     
sqr= 3575  bst= 3575  num= 17  per=100000000  inf= 78 12 72     
sqr= 1.24e+04  bst= 3575  num= 18  per=100000000  inf= 78 12 72     
sqr= 5640  bst= 3575  num= 19  per=100000000  inf= 78 12 72     
sqr= 2.636e+05  bst= 3575  num= 20  per=100000000  inf= 78 12 72     
sqr= 8906  bst= 3575  num= 21  per=100000000  inf= 78 12 72     
sqr= 8322  bst= 3575  num= 22  per=100000000  inf= 78 12 72     
sqr= 9085  bst= 3575  num= 23  per=100000000  inf= 78 12 72     
sqr= 3437  bst= 3437  num= 24  per=100000000  inf= 78 12 72     
sqr= 1.14e+04  bst= 3437  num= 25  per=100000000  inf= 78 12 72     
sqr= 9957  bst= 3437  num= 26  per=100000000  inf= 78 12 72     
sqr= 1.453e+04  bst= 3437  num= 27  per=100000000  inf= 78 12 72     
sqr= 4556  bst= 3437  num= 28  per=100000000  inf= 78 12 72     
sqr= 6059  bst= 3437  num= 29  per=100000000  inf= 78 12 72     
sqr= 1.466e+04  bst= 3437  num= 30  per=100000000  inf= 78 12 72     
sqr= 7153  bst= 3437  num= 31  per=100000000  inf= 78 12 72     
sqr= 1.006e+04  bst= 3437  num= 32  per=100000000  inf= 78 12 72     
sqr= 7061  bst= 3437  num= 33  per=100000000  inf= 78 12 72     
sqr= 1.202e+04  bst= 3437  num= 34  per=100000000  inf= 78 12 72     
sqr= 4838  bst= 3437  num= 35  per=100000000  inf= 78 12 72     
sqr= 3417  bst= 3417  num= 36  per=100000000  inf= 78 12 72     
sqr= 5431  bst= 3417  num= 37  per=100000000  inf= 78 12 72     
sqr= 1.24e+04  bst= 3417  num= 38  per=100000000  inf= 78 12 72     
sqr= 8629  bst= 3417  num= 39  per=100000000  inf= 78 12 72     
sqr= 2.352e+05  bst= 3417  num= 40  per=100000000  inf= 78 12 72     
